CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
嘉義市,1960,1,120.40,23.45,0.0286384,
嘉義市,1960,2,120.40,23.45,0,
嘉義市,1960,3,120.40,23.45,0.888571,
嘉義市,1960,4,120.40,23.45,2.18198,
嘉義市,1960,5,120.40,23.45,3.18872,
嘉義市,1960,6,120.40,23.45,7.36108,
嘉義市,1960,7,120.40,23.45,9.30834,
嘉義市,1960,8,120.40,23.45,17.0184,
嘉義市,1960,9,120.40,23.45,2.88318,
嘉義市,1960,10,120.40,23.45,0,
嘉義市,1960,11,120.40,23.45,0.021545,
嘉義市,1960,12,120.40,23.45,0.311336,
嘉義市,1961,1,120.40,23.45,0.0254976,
嘉義市,1961,2,120.40,23.45,0.679724,
嘉義市,1961,3,120.40,23.45,1.3877,
嘉義市,1961,4,120.40,23.45,2.40322,
嘉義市,1961,5,120.40,23.45,2.2059,
嘉義市,1961,6,120.40,23.45,3.44988,
嘉義市,1961,7,120.40,23.45,5.64363,
嘉義市,1961,8,120.40,23.45,16.5716,
嘉義市,1961,9,120.40,23.45,7.73719,
嘉義市,1961,10,120.40,23.45,0.00151445,
嘉義市,1961,11,120.40,23.45,0.243804,
嘉義市,1961,12,120.40,23.45,0.21276,
嘉義市,1962,1,120.40,23.45,0.248872,
嘉義市,1962,2,120.40,23.45,0.688959,
嘉義市,1962,3,120.40,23.45,2.43981,
嘉義市,1962,4,120.40,23.45,0.614125,
嘉義市,1962,5,120.40,23.45,0.368948,
嘉義市,1962,6,120.40,23.45,7.19626,
嘉義市,1962,7,120.40,23.45,4.03334,
嘉義市,1962,8,120.40,23.45,1.51682,
嘉義市,1962,9,120.40,23.45,0.908059,
嘉義市,1962,10,120.40,23.45,0.15771,
嘉義市,1962,11,120.40,23.45,0.00817681,
嘉義市,1962,12,120.40,23.45,0,
嘉義市,1963,1,120.40,23.45,0,
嘉義市,1963,2,120.40,23.45,0.125761,
嘉義市,1963,3,120.40,23.45,0.21626,
嘉義市,1963,4,120.40,23.45,0.0518689,
嘉義市,1963,5,120.40,23.45,0,
嘉義市,1963,6,120.40,23.45,1.23583,
嘉義市,1963,7,120.40,23.45,3.89619,
嘉義市,1963,8,120.40,23.45,1.19204,
嘉義市,1963,9,120.40,23.45,3.52998,
嘉義市,1963,10,120.40,23.45,0,
嘉義市,1963,11,120.40,23.45,0.130997,
嘉義市,1963,12,120.40,23.45,0.00380629,
嘉義市,1964,1,120.40,23.45,0.770753,
嘉義市,1964,2,120.40,23.45,0.0104762,
嘉義市,1964,3,120.40,23.45,0.0472287,
嘉義市,1964,4,120.40,23.45,0.00105042,
嘉義市,1964,5,120.40,23.45,0.901477,
嘉義市,1964,6,120.40,23.45,2.52296,
嘉義市,1964,7,120.40,23.45,0.495616,
嘉義市,1964,8,120.40,23.45,2.88133,
嘉義市,1964,9,120.40,23.45,0.704912,
嘉義市,1964,10,120.40,23.45,0.00213646,
嘉義市,1964,11,120.40,23.45,0,
嘉義市,1964,12,120.40,23.45,0,
嘉義市,1965,1,120.40,23.45,0.00166054,
嘉義市,1965,2,120.40,23.45,0.00169564,
嘉義市,1965,3,120.40,23.45,0.312917,
嘉義市,1965,4,120.40,23.45,0.325897,
嘉義市,1965,5,120.40,23.45,1.04797,
嘉義市,1965,6,120.40,23.45,3.81625,
嘉義市,1965,7,120.40,23.45,1.95002,
嘉義市,1965,8,120.40,23.45,4.35576,
嘉義市,1965,9,120.40,23.45,0.0743124,
嘉義市,1965,10,120.40,23.45,0.255806,
嘉義市,1965,11,120.40,23.45,0.526969,
嘉義市,1965,12,120.40,23.45,0,
嘉義市,1966,1,120.40,23.45,0,
嘉義市,1966,2,120.40,23.45,0.302571,
嘉義市,1966,3,120.40,23.45,0.617023,
嘉義市,1966,4,120.40,23.45,0.207724,
嘉義市,1966,5,120.40,23.45,1.51914,
嘉義市,1966,6,120.40,23.45,9.09827,
嘉義市,1966,7,120.40,23.45,2.29456,
嘉義市,1966,8,120.40,23.45,2.79838,
嘉義市,1966,9,120.40,23.45,0.141239,
嘉義市,1966,10,120.40,23.45,0.0107401,
