CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
基隆市,1960,1,121.65,25.10,2.9492,
基隆市,1960,2,121.65,25.10,0.364289,
基隆市,1960,3,121.65,25.10,3.66282,
基隆市,1960,4,121.65,25.10,5.2144,
基隆市,1960,5,121.65,25.10,6.26823,
基隆市,1960,6,121.65,25.10,6.72925,
基隆市,1960,7,121.65,25.10,8.42694,
基隆市,1960,8,121.65,25.10,20.6732,
基隆市,1960,9,121.65,25.10,7.22653,
基隆市,1960,10,121.65,25.10,3.3016,
基隆市,1960,11,121.65,25.10,2.19985,
基隆市,1960,12,121.65,25.10,2.43193,
基隆市,1961,1,121.65,25.10,2.48381,
基隆市,1961,2,121.65,25.10,4.32108,
基隆市,1961,3,121.65,25.10,5.06608,
基隆市,1961,4,121.65,25.10,1.15275,
基隆市,1961,5,121.65,25.10,3.23024,
基隆市,1961,6,121.65,25.10,0.2944,
基隆市,1961,7,121.65,25.10,1.30302,
基隆市,1961,8,121.65,25.10,0.865466,
基隆市,1961,9,121.65,25.10,5.06917,
基隆市,1961,10,121.65,25.10,1.14442,
基隆市,1961,11,121.65,25.10,2.34458,
基隆市,1961,12,121.65,25.10,3.00321,
基隆市,1962,1,121.65,25.10,4.52951,
基隆市,1962,2,121.65,25.10,2.98294,
基隆市,1962,3,121.65,25.10,4.7912,
基隆市,1962,4,121.65,25.10,1.58171,
基隆市,1962,5,121.65,25.10,1.98963,
基隆市,1962,6,121.65,25.10,2.4546,
基隆市,1962,7,121.65,25.10,1.56105,
基隆市,1962,8,121.65,25.10,6.75373,
基隆市,1962,9,121.65,25.10,5.45059,
基隆市,1962,10,121.65,25.10,2.23807,
基隆市,1962,11,121.65,25.10,5.13563,
基隆市,1962,12,121.65,25.10,1.34278,
基隆市,1963,1,121.65,25.10,0.859016,
基隆市,1963,2,121.65,25.10,2.53741,
基隆市,1963,3,121.65,25.10,3.46954,
基隆市,1963,4,121.65,25.10,1.69162,
基隆市,1963,5,121.65,25.10,0.774385,
基隆市,1963,6,121.65,25.10,4.27662,
基隆市,1963,7,121.65,25.10,3.12732,
基隆市,1963,8,121.65,25.10,0.932457,
基隆市,1963,9,121.65,25.10,19.9152,
基隆市,1963,10,121.65,25.10,1.11353,
基隆市,1963,11,121.65,25.10,6.22107,
基隆市,1963,12,121.65,25.10,8.69771,
基隆市,1964,1,121.65,25.10,12.9201,
基隆市,1964,2,121.65,25.10,11.8495,
基隆市,1964,3,121.65,25.10,2.29409,
基隆市,1964,4,121.65,25.10,0.360744,
基隆市,1964,5,121.65,25.10,4.67542,
基隆市,1964,6,121.65,25.10,8.73115,
基隆市,1964,7,121.65,25.10,0.186389,
基隆市,1964,8,121.65,25.10,7.65433,
基隆市,1964,9,121.65,25.10,5.17442,
基隆市,1964,10,121.65,25.10,13.0241,
基隆市,1964,11,121.65,25.10,7.98303,
基隆市,1964,12,121.65,25.10,11.2779,
基隆市,1965,1,121.65,25.10,9.01026,
基隆市,1965,2,121.65,25.10,5.9646,
基隆市,1965,3,121.65,25.10,7.45913,
基隆市,1965,4,121.65,25.10,4.09841,
基隆市,1965,5,121.65,25.10,4.23276,
基隆市,1965,6,121.65,25.10,7.61397,
基隆市,1965,7,121.65,25.10,2.86137,
基隆市,1965,8,121.65,25.10,5.0481,
基隆市,1965,9,121.65,25.10,6.45936,
基隆市,1965,10,121.65,25.10,3.0424,
基隆市,1965,11,121.65,25.10,10.8775,
基隆市,1965,12,121.65,25.10,7.72323,
基隆市,1966,1,121.65,25.10,5.65384,
基隆市,1966,2,121.65,25.10,7.30359,
基隆市,1966,3,121.65,25.10,5.61144,
基隆市,1966,4,121.65,25.10,7.69037,
基隆市,1966,5,121.65,25.10,1.70745,
基隆市,1966,6,121.65,25.10,19.9257,
基隆市,1966,7,121.65,25.10,1.69146,
基隆市,1966,8,121.65,25.10,6.36944,
基隆市,1966,9,121.65,25.10,34.4608,
基隆市,1966,10,121.65,25.10,2.62171,
基隆市,1966,11,121.65,25.10,2.89354,
基隆市,1966,12,121.65,25.10,11.0963,
基隆市,1967,1,121.65,25.10,11.1892,
基隆市,1967,2,121.65,25.10,11.4824,
基隆市,1967,3,121.65,25.10,3.39218,
基隆市,1967,4,121.65,25.10,5.76636,
基隆市,1967,5,121.65,25.10,6.36852,
基隆市,1967,6,121.65,25.10,6.3302,
基隆市,1967,7,121.65,25.10,2.80501,
基隆市,1967,8,121.65,25.10,4.37342,
基隆市,1967,9,121.65,25.10,3.70677,
基隆市,1967,10,121.65,25.10,25.7022,
基隆市,1967,11,121.65,25.10,14.7617,
基隆市,1967,12,121.65,25.10,8.539,
基隆市,1968,1,121.65,25.10,3.99559,
基隆市,1968,2,121.65,25.10,25.4531,
基隆市,1968,3,121.65,25.10,7.47937,
基隆市,1968,4,121.65,25.10,3.08303,
基隆市,1968,5,121.65,25.10,8.49645,
基隆市,1968,6,121.65,25.10,8.90864,
基隆市,1968,7,121.65,25.10,7.08889,
基隆市,1968,8,121.65,25.10,2.41993,
基隆市,1968,9,121.65,25.10,23.2918,
基隆市,1968,10,121.65,25.10,2.03068,
基隆市,1968,11,121.65,25.10,0.703693,
基隆市,1968,12,121.65,25.10,3.15078,
基隆市,1969,1,121.65,25.10,8.59813,
基隆市,1969,2,121.65,25.10,8.54455,
基隆市,1969,3,121.65,25.10,9.43893,
基隆市,1969,4,121.65,25.10,1.14161,
基隆市,1969,5,121.65,25.10,2.71363,
基隆市,1969,6,121.65,25.10,8.17006,
基隆市,1969,7,121.65,25.10,3.05438,
基隆市,1969,8,121.65,25.10,5.88724,
基隆市,1969,9,121.65,25.10,22.151,
基隆市,1969,10,121.65,25.10,28.5835,
基隆市,1969,11,121.65,25.10,9.90714,
基隆市,1969,12,121.65,25.10,8.57585,
基隆市,1970,1,121.65,25.10,13.6463,
基隆市,1970,2,121.65,25.10,4.4941,
基隆市,1970,3,121.65,25.10,16.1772,
基隆市,1970,4,121.65,25.10,3.88431,
基隆市,1970,5,121.65,25.10,5.93365,
基隆市,1970,6,121.65,25.10,6.09828,
基隆市,1970,7,121.65,25.10,1.0873,
基隆市,1970,8,121.65,25.10,4.04372,
基隆市,1970,9,121.65,25.10,15.6462,
基隆市,1970,10,121.65,25.10,20.7666,
基隆市,1970,11,121.65,25.10,13.0806,
基隆市,1970,12,121.65,25.10,18.6179,
基隆市,1971,1,121.65,25.10,12.4927,
基隆市,1971,2,121.65,25.10,8.29942,
基隆市,1971,3,121.65,25.10,14.5472,
基隆市,1971,4,121.65,25.10,2.01274,
基隆市,1971,5,121.65,25.10,2.92987,
基隆市,1971,6,121.65,25.10,3.14276,
基隆市,1971,7,121.65,25.10,3.10936,
基隆市,1971,8,121.65,25.10,0.801482,
基隆市,1971,9,121.65,25.10,18.8567,
基隆市,1971,10,121.65,25.10,11.8811,
基隆市,1971,11,121.65,25.10,9.30015,
基隆市,1971,12,121.65,25.10,10.2152,
基隆市,1972,1,121.65,25.10,13.0821,
基隆市,1972,2,121.65,25.10,5.57289,
基隆市,1972,3,121.65,25.10,1.1603,
基隆市,1972,4,121.65,25.10,2.32834,
基隆市,1972,5,121.65,25.10,7.10891,
基隆市,1972,6,121.65,25.10,3.18654,
基隆市,1972,7,121.65,25.10,13.2143,
基隆市,1972,8,121.65,25.10,17.5676,
基隆市,1972,9,121.65,25.10,1.72887,
基隆市,1972,10,121.65,25.10,2.24003,
基隆市,1972,11,121.65,25.10,5.91035,
基隆市,1972,12,121.65,25.10,5.36179,
基隆市,1973,1,121.65,25.10,7.27269,
基隆市,1973,2,121.65,25.10,4.20083,
基隆市,1973,3,121.65,25.10,2.68659,
基隆市,1973,4,121.65,25.10,6.65249,
基隆市,1973,5,121.65,25.10,7.77785,
基隆市,1973,6,121.65,25.10,6.59954,
基隆市,1973,7,121.65,25.10,4.669,
基隆市,1973,8,121.65,25.10,5.40015,
基隆市,1973,9,121.65,25.10,8.21899,
基隆市,1973,10,121.65,25.10,23.041,
基隆市,1973,11,121.65,25.10,8.08818,
基隆市,1973,12,121.65,25.10,5.22396,
基隆市,1974,1,121.65,25.10,4.16213,
基隆市,1974,2,121.65,25.10,9.42046,
基隆市,1974,3,121.65,25.10,5.45667,
基隆市,1974,4,121.65,25.10,6.8121,
基隆市,1974,5,121.65,25.10,8.3503,
基隆市,1974,6,121.65,25.10,9.4354,
基隆市,1974,7,121.65,25.10,3.54677,
基隆市,1974,8,121.65,25.10,1.65649,
基隆市,1974,9,121.65,25.10,13.2273,
基隆市,1974,10,121.65,25.10,23.7915,
基隆市,1974,11,121.65,25.10,11.1732,
基隆市,1974,12,121.65,25.10,12.2166,
基隆市,1975,1,121.65,25.10,3.59871,
基隆市,1975,2,121.65,25.10,6.15462,
基隆市,1975,3,121.65,25.10,8.83321,
基隆市,1975,4,121.65,25.10,3.59154,
基隆市,1975,5,121.65,25.10,10.3475,
基隆市,1975,6,121.65,25.10,13.341,
基隆市,1975,7,121.65,25.10,0.919721,
基隆市,1975,8,121.65,25.10,6.09303,
基隆市,1975,9,121.65,25.10,3.2241,
