CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
宜蘭縣,1960,1,121.30,24.40,0.69588,
宜蘭縣,1960,2,121.30,24.40,0.363725,
宜蘭縣,1960,3,121.30,24.40,1.86361,
宜蘭縣,1960,4,121.30,24.40,3.67539,
宜蘭縣,1960,5,121.30,24.40,7.20999,
宜蘭縣,1960,6,121.30,24.40,9.39965,
宜蘭縣,1960,7,121.30,24.40,12.4155,
宜蘭縣,1960,8,121.30,24.40,16.2389,
宜蘭縣,1960,9,121.30,24.40,6.54308,
宜蘭縣,1960,10,121.30,24.40,0.522704,
宜蘭縣,1960,11,121.30,24.40,1.08066,
宜蘭縣,1960,12,121.30,24.40,0.876502,
宜蘭縣,1961,1,121.30,24.40,0.0957805,
宜蘭縣,1961,2,121.30,24.40,4.11927,
宜蘭縣,1961,3,121.30,24.40,4.62021,
宜蘭縣,1961,4,121.30,24.40,1.96888,
宜蘭縣,1961,5,121.30,24.40,7.68072,
宜蘭縣,1961,6,121.30,24.40,1.09195,
宜蘭縣,1961,7,121.30,24.40,2.50227,
宜蘭縣,1961,8,121.30,24.40,4.06718,
宜蘭縣,1961,9,121.30,24.40,13.8213,
宜蘭縣,1961,10,121.30,24.40,0.375173,
宜蘭縣,1961,11,121.30,24.40,0.855972,
宜蘭縣,1961,12,121.30,24.40,0.394107,
宜蘭縣,1962,1,121.30,24.40,1.42251,
宜蘭縣,1962,2,121.30,24.40,2.19219,
宜蘭縣,1962,3,121.30,24.40,9.14261,
宜蘭縣,1962,4,121.30,24.40,2.90631,
宜蘭縣,1962,5,121.30,24.40,1.1999,
宜蘭縣,1962,6,121.30,24.40,4.65406,
宜蘭縣,1962,7,121.30,24.40,6.239,
宜蘭縣,1962,8,121.30,24.40,19.7384,
宜蘭縣,1962,9,121.30,24.40,17.3307,
宜蘭縣,1962,10,121.30,24.40,13.4431,
宜蘭縣,1962,11,121.30,24.40,3.4317,
宜蘭縣,1962,12,121.30,24.40,0.0797788,
宜蘭縣,1963,1,121.30,24.40,0.207629,
宜蘭縣,1963,2,121.30,24.40,1.45196,
宜蘭縣,1963,3,121.30,24.40,1.80765,
宜蘭縣,1963,4,121.30,24.40,0.773098,
宜蘭縣,1963,5,121.30,24.40,0.32704,
宜蘭縣,1963,6,121.30,24.40,5.16936,
宜蘭縣,1963,7,121.30,24.40,12.3914,
宜蘭縣,1963,8,121.30,24.40,1.37833,
宜蘭縣,1963,9,121.30,24.40,19.1927,
宜蘭縣,1963,10,121.30,24.40,0.212762,
宜蘭縣,1963,11,121.30,24.40,2.23098,
宜蘭縣,1963,12,121.30,24.40,1.73535,
宜蘭縣,1964,1,121.30,24.40,5.83699,
宜蘭縣,1964,2,121.30,24.40,1.72123,
宜蘭縣,1964,3,121.30,24.40,0.529201,
宜蘭縣,1964,4,121.30,24.40,0.194639,
宜蘭縣,1964,5,121.30,24.40,2.94691,
宜蘭縣,1964,6,121.30,24.40,6.85578,
宜蘭縣,1964,7,121.30,24.40,2.19312,
宜蘭縣,1964,8,121.30,24.40,7.67725,
宜蘭縣,1964,9,121.30,24.40,2.96572,
宜蘭縣,1964,10,121.30,24.40,7.70963,
宜蘭縣,1964,11,121.30,24.40,1.1094,
宜蘭縣,1964,12,121.30,24.40,0.0944613,
宜蘭縣,1965,1,121.30,24.40,1.7612,
宜蘭縣,1965,2,121.30,24.40,1.61262,
宜蘭縣,1965,3,121.30,24.40,1.45501,
宜蘭縣,1965,4,121.30,24.40,3.19743,
宜蘭縣,1965,5,121.30,24.40,3.81705,
宜蘭縣,1965,6,121.30,24.40,6.76396,
宜蘭縣,1965,7,121.30,24.40,8.14126,
