CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
新北市,1960,1,121.30,24.90,3.51949,
新北市,1960,2,121.30,24.90,0.631063,
新北市,1960,3,121.30,24.90,4.99212,
新北市,1960,4,121.30,24.90,7.79057,
新北市,1960,5,121.30,24.90,9.17298,
新北市,1960,6,121.30,24.90,10.1589,
新北市,1960,7,121.30,24.90,8.73841,
新北市,1960,8,121.30,24.90,28.6223,
新北市,1960,9,121.30,24.90,6.4885,
新北市,1960,10,121.30,24.90,2.95276,
新北市,1960,11,121.30,24.90,1.78349,
新北市,1960,12,121.30,24.90,1.83131,
新北市,1961,1,121.30,24.90,1.92852,
新北市,1961,2,121.30,24.90,5.54942,
新北市,1961,3,121.30,24.90,9.06333,
新北市,1961,4,121.30,24.90,3.24706,
新北市,1961,5,121.30,24.90,5.69533,
新北市,1961,6,121.30,24.90,1.1559,
新北市,1961,7,121.30,24.90,10.9006,
新北市,1961,8,121.30,24.90,6.25563,
新北市,1961,9,121.30,24.90,18.2974,
新北市,1961,10,121.30,24.90,1.16519,
新北市,1961,11,121.30,24.90,4.44572,
新北市,1961,12,121.30,24.90,3.61375,
新北市,1962,1,121.30,24.90,3.68279,
新北市,1962,2,121.30,24.90,3.33169,
新北市,1962,3,121.30,24.90,9.10088,
新北市,1962,4,121.30,24.90,4.06933,
新北市,1962,5,121.30,24.90,3.19426,
新北市,1962,6,121.30,24.90,9.03281,
新北市,1962,7,121.30,24.90,4.1566,
新北市,1962,8,121.30,24.90,4.80662,
新北市,1962,9,121.30,24.90,10.6543,
新北市,1962,10,121.30,24.90,5.04783,
新北市,1962,11,121.30,24.90,3.32171,
新北市,1962,12,121.30,24.90,0.966002,
新北市,1963,1,121.30,24.90,0.845904,
新北市,1963,2,121.30,24.90,1.15014,
新北市,1963,3,121.30,24.90,2.79636,
新北市,1963,4,121.30,24.90,1.08786,
新北市,1963,5,121.30,24.90,1.05511,
新北市,1963,6,121.30,24.90,7.05324,
新北市,1963,7,121.30,24.90,5.38533,
新北市,1963,8,121.30,24.90,1.61757,
新北市,1963,9,121.30,24.90,19.0395,
新北市,1963,10,121.30,24.90,0.345006,
新北市,1963,11,121.30,24.90,2.56872,
新北市,1963,12,121.30,24.90,1.69576,
新北市,1964,1,121.30,24.90,7.90269,
新北市,1964,2,121.30,24.90,3.92037,
新北市,1964,3,121.30,24.90,1.74828,
新北市,1964,4,121.30,24.90,0,
新北市,1964,5,121.30,24.90,2.1848,
新北市,1964,6,121.30,24.90,7.61871,
新北市,1964,7,121.30,24.90,1.55054,
新北市,1964,8,121.30,24.90,8.43272,
新北市,1964,9,121.30,24.90,2.64493,
新北市,1964,10,121.30,24.90,1.71236,
新北市,1964,11,121.30,24.90,0.360023,
新北市,1964,12,121.30,24.90,1.95173,
新北市,1965,1,121.30,24.90,4.39373,
新北市,1965,2,121.30,24.90,0.914017,
新北市,1965,3,121.30,24.90,3.17322,
新北市,1965,4,121.30,24.90,4.28926,
新北市,1965,5,121.30,24.90,5.54816,
新北市,1965,6,121.30,24.90,4.24901,
新北市,1965,7,121.30,24.90,5.2395,
新北市,1965,8,121.30,24.90,5.86708,
新北市,1965,9,121.30,24.90,2.46024,
新北市,1965,10,121.30,24.90,0.978954,
新北市,1965,11,121.30,24.90,2.57322,
新北市,1965,12,121.30,24.90,2.11767,
新北市,1966,1,121.30,24.90,0.941341,
新北市,1966,2,121.30,24.90,4.87266,
新北市,1966,3,121.30,24.90,7.01167,
新北市,1966,4,121.30,24.90,5.72674,
新北市,1966,5,121.30,24.90,1.96028,
新北市,1966,6,121.30,24.90,21.4716,
新北市,1966,7,121.30,24.90,3.95443,
新北市,1966,8,121.30,24.90,7.16367,
新北市,1966,9,121.30,24.90,16.479,
新北市,1966,10,121.30,24.90,0.684144,
新北市,1966,11,121.30,24.90,0.88815,
新北市,1966,12,121.30,24.90,1.63732,
新北市,1967,1,121.30,24.90,4.13407,
新北市,1967,2,121.30,24.90,6.26019,
新北市,1967,3,121.30,24.90,2.29373,
新北市,1967,4,121.30,24.90,2.57007,
新北市,1967,5,121.30,24.90,6.7925,
新北市,1967,6,121.30,24.90,5.79799,
新北市,1967,7,121.30,24.90,3.41837,
新北市,1967,8,121.30,24.90,3.88194,
新北市,1967,9,121.30,24.90,1.10396,
新北市,1967,10,121.30,24.90,10.3359,
新北市,1967,11,121.30,24.90,3.91296,
新北市,1967,12,121.30,24.90,3.39498,
新北市,1968,1,121.30,24.90,0.664798,
新北市,1968,2,121.30,24.90,14.8895,
新北市,1968,3,121.30,24.90,7.0114,
新北市,1968,4,121.30,24.90,2.1067,
新北市,1968,5,121.30,24.90,8.44535,
新北市,1968,6,121.30,24.90,11.2025,
新北市,1968,7,121.30,24.90,4.98581,
新北市,1968,8,121.30,24.90,5.78735,
新北市,1968,9,121.30,24.90,4.53909,
新北市,1968,10,121.30,24.90,1.23941,
新北市,1968,11,121.30,24.90,0,
新北市,1968,12,121.30,24.90,0.743143,
新北市,1969,1,121.30,24.90,2.99046,
新北市,1969,2,121.30,24.90,4.50258,
新北市,1969,3,121.30,24.90,7.87953,
新北市,1969,4,121.30,24.90,0.967767,
新北市,1969,5,121.30,24.90,2.34351,
新北市,1969,6,121.30,24.90,11.2738,
新北市,1969,7,121.30,24.90,3.82542,
新北市,1969,8,121.30,24.90,11.1945,
新北市,1969,9,121.30,24.90,21.291,
新北市,1969,10,121.30,24.90,21.1701,
新北市,1969,11,121.30,24.90,1.6958,
新北市,1969,12,121.30,24.90,0.704174,
新北市,1970,1,121.30,24.90,6.31161,
新北市,1970,2,121.30,24.90,1.24921,
新北市,1970,3,121.30,24.90,11.6638,
新北市,1970,4,121.30,24.90,2.27026,
新北市,1970,5,121.30,24.90,5.03814,
新北市,1970,6,121.30,24.90,8.4575,
新北市,1970,7,121.30,24.90,1.50625,
新北市,1970,8,121.30,24.90,8.59657,
新北市,1970,9,121.30,24.90,23.1153,
