CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
新竹縣,1960,1,120.90,24.70,1.21077,
新竹縣,1960,2,120.90,24.70,0.132044,
新竹縣,1960,3,120.90,24.70,2.679,
新竹縣,1960,4,120.90,24.70,4.16499,
新竹縣,1960,5,120.90,24.70,8.44366,
新竹縣,1960,6,120.90,24.70,9.46691,
新竹縣,1960,7,120.90,24.70,4.11789,
新竹縣,1960,8,120.90,24.70,18.9363,
新竹縣,1960,9,120.90,24.70,1.35708,
新竹縣,1960,10,120.90,24.70,0,
新竹縣,1960,11,120.90,24.70,0.739751,
新竹縣,1960,12,120.90,24.70,0.385443,
新竹縣,1961,1,120.90,24.70,0.177984,
新竹縣,1961,2,120.90,24.70,1.37674,
新竹縣,1961,3,120.90,24.70,6.76804,
新竹縣,1961,4,120.90,24.70,2.31159,
新竹縣,1961,5,120.90,24.70,2.64086,
新竹縣,1961,6,120.90,24.70,0.144071,
新竹縣,1961,7,120.90,24.70,3.92871,
新竹縣,1961,8,120.90,24.70,2.8727,
新竹縣,1961,9,120.90,24.70,5.47303,
新竹縣,1961,10,120.90,24.70,0.0546495,
新竹縣,1961,11,120.90,24.70,0.187751,
新竹縣,1961,12,120.90,24.70,1.52982,
新竹縣,1962,1,120.90,24.70,0.528609,
新竹縣,1962,2,120.90,24.70,1.64496,
新竹縣,1962,3,120.90,24.70,6.0204,
新竹縣,1962,4,120.90,24.70,2.37189,
新竹縣,1962,5,120.90,24.70,1.68678,
新竹縣,1962,6,120.90,24.70,3.73561,
新竹縣,1962,7,120.90,24.70,4.63773,
新竹縣,1962,8,120.90,24.70,5.65512,
新竹縣,1962,9,120.90,24.70,1.27128,
新竹縣,1962,10,120.90,24.70,0.823906,
新竹縣,1962,11,120.90,24.70,0.518806,
新竹縣,1962,12,120.90,24.70,0.0189868,
新竹縣,1963,1,120.90,24.70,0.165587,
新竹縣,1963,2,120.90,24.70,0.153223,
新竹縣,1963,3,120.90,24.70,1.67801,
新竹縣,1963,4,120.90,24.70,1.04438,
新竹縣,1963,5,120.90,24.70,0.295555,
新竹縣,1963,6,120.90,24.70,4.4171,
新竹縣,1963,7,120.90,24.70,3.25429,
新竹縣,1963,8,120.90,24.70,0.199916,
新竹縣,1963,9,120.90,24.70,16.3893,
新竹縣,1963,10,120.90,24.70,0,
新竹縣,1963,11,120.90,24.70,0.626006,
新竹縣,1963,12,120.90,24.70,0.440755,
新竹縣,1964,1,120.90,24.70,4.55336,
新竹縣,1964,2,120.90,24.70,1.60516,
新竹縣,1964,3,120.90,24.70,0.82695,
新竹縣,1964,4,120.90,24.70,0.000430756,
新竹縣,1964,5,120.90,24.70,1.80442,
新竹縣,1964,6,120.90,24.70,3.64455,
新竹縣,1964,7,120.90,24.70,0.0754288,
新竹縣,1964,8,120.90,24.70,4.4434,
新竹縣,1964,9,120.90,24.70,1.09762,
新竹縣,1964,10,120.90,24.70,0.434396,
新竹縣,1964,11,120.90,24.70,0,
新竹縣,1964,12,120.90,24.70,0.00023977,
新竹縣,1965,1,120.90,24.70,1.91326,
新竹縣,1965,2,120.90,24.70,0.45054,
新竹縣,1965,3,120.90,24.70,1.22249,
新竹縣,1965,4,120.90,24.70,3.64983,
新竹縣,1965,5,120.90,24.70,5.35094,
新竹縣,1965,6,120.90,24.70,2.72034,
新竹縣,1965,7,120.90,24.70,1.15817,
新竹縣,1965,8,120.90,24.70,3.71884,
新竹縣,1965,9,120.90,24.70,0.400832,
新竹縣,1965,10,120.90,24.70,0.480328,
新竹縣,1965,11,120.90,24.70,0.775903,
新竹縣,1965,12,120.90,24.70,0.71473,
新竹縣,1966,1,120.90,24.70,0.227503,
新竹縣,1966,2,120.90,24.70,2.43186,
新竹縣,1966,3,120.90,24.70,3.59808,
新竹縣,1966,4,120.90,24.70,2.79675,
新竹縣,1966,5,120.90,24.70,0.908611,
新竹縣,1966,6,120.90,24.70,25.5154,
新竹縣,1966,7,120.90,24.70,1.7598,
新竹縣,1966,8,120.90,24.70,7.20184,
新竹縣,1966,9,120.90,24.70,3.6441,
新竹縣,1966,10,120.90,24.70,0,
新竹縣,1966,11,120.90,24.70,0,
新竹縣,1966,12,120.90,24.70,0.414644,
新竹縣,1967,1,120.90,24.70,1.55136,
新竹縣,1967,2,120.90,24.70,2.70997,
新竹縣,1967,3,120.90,24.70,0.768129,
