CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
桃園市,1960,1,121.00,24.95,1.6868,
桃園市,1960,2,121.00,24.95,0.0601501,
桃園市,1960,3,121.00,24.95,3.78194,
桃園市,1960,4,121.00,24.95,4.95436,
桃園市,1960,5,121.00,24.95,7.72525,
桃園市,1960,6,121.00,24.95,8.42748,
桃園市,1960,7,121.00,24.95,2.82146,
桃園市,1960,8,121.00,24.95,17.6154,
桃園市,1960,9,121.00,24.95,5.54466,
桃園市,1960,10,121.00,24.95,0.598759,
桃園市,1960,11,121.00,24.95,1.25004,
桃園市,1960,12,121.00,24.95,0.74818,
桃園市,1961,1,121.00,24.95,0.851802,
桃園市,1961,2,121.00,24.95,3.00936,
桃園市,1961,3,121.00,24.95,7.49512,
桃園市,1961,4,121.00,24.95,2.93156,
桃園市,1961,5,121.00,24.95,3.51022,
桃園市,1961,6,121.00,24.95,1.124,
桃園市,1961,7,121.00,24.95,1.87561,
桃園市,1961,8,121.00,24.95,0.20133,
桃園市,1961,9,121.00,24.95,4.12941,
桃園市,1961,10,121.00,24.95,0.0859889,
桃園市,1961,11,121.00,24.95,0.578697,
桃園市,1961,12,121.00,24.95,2.0397,
桃園市,1962,1,121.00,24.95,1.1188,
桃園市,1962,2,121.00,24.95,1.31191,
桃園市,1962,3,121.00,24.95,6.78706,
桃園市,1962,4,121.00,24.95,3.76277,
桃園市,1962,5,121.00,24.95,3.39003,
桃園市,1962,6,121.00,24.95,2.57146,
桃園市,1962,7,121.00,24.95,7.47151,
桃園市,1962,8,121.00,24.95,5.27632,
桃園市,1962,9,121.00,24.95,2.3469,
桃園市,1962,10,121.00,24.95,1.41474,
桃園市,1962,11,121.00,24.95,1.57423,
桃園市,1962,12,121.00,24.95,0.0691362,
桃園市,1963,1,121.00,24.95,0.0674362,
桃園市,1963,2,121.00,24.95,0.354127,
桃園市,1963,3,121.00,24.95,1.8477,
桃園市,1963,4,121.00,24.95,0.683397,
桃園市,1963,5,121.00,24.95,0.611345,
桃園市,1963,6,121.00,24.95,3.97428,
桃園市,1963,7,121.00,24.95,2.40178,
桃園市,1963,8,121.00,24.95,0,
桃園市,1963,9,121.00,24.95,15.1199,
桃園市,1963,10,121.00,24.95,0.00587544,
桃園市,1963,11,121.00,24.95,0.432475,
桃園市,1963,12,121.00,24.95,0.191725,
桃園市,1964,1,121.00,24.95,6.71484,
桃園市,1964,2,121.00,24.95,2.86423,
桃園市,1964,3,121.00,24.95,1.04493,
桃園市,1964,4,121.00,24.95,0,
桃園市,1964,5,121.00,24.95,1.45999,
桃園市,1964,6,121.00,24.95,7.02156,
桃園市,1964,7,121.00,24.95,0.000415747,
桃園市,1964,8,121.00,24.95,5.43507,
桃園市,1964,9,121.00,24.95,0.685628,
桃園市,1964,10,121.00,24.95,0.922925,
桃園市,1964,11,121.00,24.95,0.211926,
桃園市,1964,12,121.00,24.95,0.311125,
桃園市,1965,1,121.00,24.95,2.91558,
桃園市,1965,2,121.00,24.95,0.4315,
桃園市,1965,3,121.00,24.95,1.79314,
桃園市,1965,4,121.00,24.95,3.26862,
桃園市,1965,5,121.00,24.95,6.17212,
桃園市,1965,6,121.00,24.95,4.80945,
桃園市,1965,7,121.00,24.95,1.05721,
桃園市,1965,8,121.00,24.95,4.41353,
桃園市,1965,9,121.00,24.95,0.706163,
桃園市,1965,10,121.00,24.95,1.79826,
桃園市,1965,11,121.00,24.95,1.03417,
桃園市,1965,12,121.00,24.95,0.802619,
桃園市,1966,1,121.00,24.95,0.35313,
桃園市,1966,2,121.00,24.95,2.59489,
桃園市,1966,3,121.00,24.95,3.09647,
桃園市,1966,4,121.00,24.95,4.93224,
桃園市,1966,5,121.00,24.95,0.783007,
桃園市,1966,6,121.00,24.95,23.8658,
桃園市,1966,7,121.00,24.95,3.74427,
桃園市,1966,8,121.00,24.95,6.47481,
桃園市,1966,9,121.00,24.95,5.40061,
桃園市,1966,10,121.00,24.95,0.0776973,
桃園市,1966,11,121.00,24.95,0.0038606,
桃園市,1966,12,121.00,24.95,0.862683,
桃園市,1967,1,121.00,24.95,2.47933,
桃園市,1967,2,121.00,24.95,3.44137,
桃園市,1967,3,121.00,24.95,1.09081,
桃園市,1967,4,121.00,24.95,3.01765,
桃園市,1967,5,121.00,24.95,4.58149,
桃園市,1967,6,121.00,24.95,2.7295,
桃園市,1967,7,121.00,24.95,2.22987,
桃園市,1967,8,121.00,24.95,0.219108,
桃園市,1967,9,121.00,24.95,1.26,
桃園市,1967,10,121.00,24.95,3.43175,
桃園市,1967,11,121.00,24.95,0.213179,
桃園市,1967,12,121.00,24.95,0.665781,
桃園市,1968,1,121.00,24.95,0.45246,
桃園市,1968,2,121.00,24.95,9.00411,
桃園市,1968,3,121.00,24.95,4.87555,
桃園市,1968,4,121.00,24.95,2.33902,
桃園市,1968,5,121.00,24.95,10.2339,
桃園市,1968,6,121.00,24.95,14.9571,
桃園市,1968,7,121.00,24.95,0.548146,
桃園市,1968,8,121.00,24.95,2.57244,
桃園市,1968,9,121.00,24.95,1.06018,
桃園市,1968,10,121.00,24.95,0.809463,
桃園市,1968,11,121.00,24.95,0,
桃園市,1968,12,121.00,24.95,0.170661,
桃園市,1969,1,121.00,24.95,2.50951,
桃園市,1969,2,121.00,24.95,4.86894,
桃園市,1969,3,121.00,24.95,5.48706,
桃園市,1969,4,121.00,24.95,0.772862,
桃園市,1969,5,121.00,24.95,3.53054,
桃園市,1969,6,121.00,24.95,10.3275,
桃園市,1969,7,121.00,24.95,0.295225,
桃園市,1969,8,121.00,24.95,7.51704,
桃園市,1969,9,121.00,24.95,10.2016,
桃園市,1969,10,121.00,24.95,9.92136,
桃園市,1969,11,121.00,24.95,0.483955,
桃園市,1969,12,121.00,24.95,0.0549628,
桃園市,1970,1,121.00,24.95,3.20914,
桃園市,1970,2,121.00,24.95,0.609844,
桃園市,1970,3,121.00,24.95,9.22196,
桃園市,1970,4,121.00,24.95,1.54799,
桃園市,1970,5,121.00,24.95,6.43727,
桃園市,1970,6,121.00,24.95,2.42737,
桃園市,1970,7,121.00,24.95,0.874988,
桃園市,1970,8,121.00,24.95,10.445,
桃園市,1970,9,121.00,24.95,11.295,
桃園市,1970,10,121.00,24.95,1.09145,
桃園市,1970,11,121.00,24.95,0.418754,
桃園市,1970,12,121.00,24.95,3.12369,
桃園市,1971,1,121.00,24.95,3.03193,
桃園市,1971,2,121.00,24.95,1.21718,
桃園市,1971,3,121.00,24.95,1.27962,
桃園市,1971,4,121.00,24.95,1.2014,
桃園市,1971,5,121.00,24.95,2.51219,
桃園市,1971,6,121.00,24.95,3.8303,
桃園市,1971,7,121.00,24.95,1.20649,
桃園市,1971,8,121.00,24.95,0.47886,
桃園市,1971,9,121.00,24.95,9.41632,
桃園市,1971,10,121.00,24.95,2.06454,
桃園市,1971,11,121.00,24.95,1.47849,
桃園市,1971,12,121.00,24.95,1.70549,
桃園市,1972,1,121.00,24.95,2.85828,
桃園市,1972,2,121.00,24.95,2.01755,
桃園市,1972,3,121.00,24.95,0.573021,
桃園市,1972,4,121.00,24.95,1.65385,
桃園市,1972,5,121.00,24.95,8.65372,
桃園市,1972,6,121.00,24.95,4.4584,
桃園市,1972,7,121.00,24.95,6.26783,
桃園市,1972,8,121.00,24.95,9.80856,
桃園市,1972,9,121.00,24.95,0.00623587,
桃園市,1972,10,121.00,24.95,0.167642,
桃園市,1972,11,121.00,24.95,1.33595,
桃園市,1972,12,121.00,24.95,2.1681,
桃園市,1973,1,121.00,24.95,3.22046,
桃園市,1973,2,121.00,24.95,2.12163,
桃園市,1973,3,121.00,24.95,1.61157,
桃園市,1973,4,121.00,24.95,8.98208,
桃園市,1973,5,121.00,24.95,5.77324,
桃園市,1973,6,121.00,24.95,7.94078,
桃園市,1973,7,121.00,24.95,1.09845,
桃園市,1973,8,121.00,24.95,4.05781,
桃園市,1973,9,121.00,24.95,0.00484409,
桃園市,1973,10,121.00,24.95,2.26283,
桃園市,1973,11,121.00,24.95,1.18654,
桃園市,1973,12,121.00,24.95,0.0938369,
桃園市,1974,1,121.00,24.95,0.093588,
桃園市,1974,2,121.00,24.95,3.23787,
桃園市,1974,3,121.00,24.95,2.48013,
桃園市,1974,4,121.00,24.95,6.15975,
桃園市,1974,5,121.00,24.95,9.75473,
桃園市,1974,6,121.00,24.95,18.4527,
桃園市,1974,7,121.00,24.95,4.7466,
桃園市,1974,8,121.00,24.95,2.82456,
桃園市,1974,9,121.00,24.95,0.975826,
桃園市,1974,10,121.00,24.95,2.14271,
桃園市,1974,11,121.00,24.95,0.656198,
桃園市,1974,12,121.00,24.95,3.03325,
桃園市,1975,1,121.00,24.95,2.90164,
桃園市,1975,2,121.00,24.95,2.70293,
桃園市,1975,3,121.00,24.95,8.22863,
桃園市,1975,4,121.00,24.95,3.06279,
桃園市,1975,5,121.00,24.95,6.50262,
桃園市,1975,6,121.00,24.95,11.3344,
桃園市,1975,7,121.00,24.95,0.888109,
桃園市,1975,8,121.00,24.95,4.38835,
桃園市,1975,9,121.00,24.95,2.38764,
桃園市,1975,10,121.00,24.95,2.62469,
桃園市,1975,11,121.00,24.95,1.34265,
桃園市,1975,12,121.00,24.95,3.72923,
桃園市,1976,1,121.00,24.95,0.770184,
桃園市,1976,2,121.00,24.95,1.66575,
桃園市,1976,3,121.00,24.95,2.88347,
桃園市,1976,4,121.00,24.95,3.77538,
桃園市,1976,5,121.00,24.95,8.33401,
桃園市,1976,6,121.00,24.95,4.83249,
桃園市,1976,7,121.00,24.95,9.21709,
桃園市,1976,8,121.00,24.95,3.9403,
桃園市,1976,9,121.00,24.95,1.38176,
桃園市,1976,10,121.00,24.95,1.0134,
桃園市,1976,11,121.00,24.95,0.552967,
桃園市,1976,12,121.00,24.95,0.472628,
桃園市,1977,1,121.00,24.95,3.83035,
桃園市,1977,2,121.00,24.95,2.49922,
桃園市,1977,3,121.00,24.95,1.01365,
桃園市,1977,4,121.00,24.95,1.27549,
桃園市,1977,5,121.00,24.95,4.20437,
桃園市,1977,6,121.00,24.95,14.2287,
桃園市,1977,7,121.00,24.95,10.049,
桃園市,1977,8,121.00,24.95,3.47254,
桃園市,1977,9,121.00,24.95,3.54642,
桃園市,1977,10,121.00,24.95,0,
桃園市,1977,11,121.00,24.95,2.25696,
桃園市,1977,12,121.00,24.95,3.78849,
桃園市,1978,1,121.00,24.95,1.33405,
桃園市,1978,2,121.00,24.95,1.62309,
桃園市,1978,3,121.00,24.95,10.8136,
桃園市,1978,4,121.00,24.95,5.90443,
桃園市,1978,5,121.00,24.95,9.06834,
桃園市,1978,6,121.00,24.95,3.04042,
桃園市,1978,7,121.00,24.95,0.146984,
桃園市,1978,8,121.00,24.95,1.16369,
桃園市,1978,9,121.00,24.95,5.5991,
桃園市,1978,10,121.00,24.95,6.93588,
桃園市,1978,11,121.00,24.95,0.00196846,
桃園市,1978,12,121.00,24.95,2.25781,
桃園市,1979,1,121.00,24.95,1.02173,
桃園市,1979,2,121.00,24.95,1.17965,
桃園市,1979,3,121.00,24.95,7.00212,
桃園市,1979,4,121.00,24.95,3.18281,
桃園市,1979,5,121.00,24.95,5.08072,
桃園市,1979,6,121.00,24.95,14.8129,
桃園市,1979,7,121.00,24.95,0,
桃園市,1979,8,121.00,24.95,4.0261,
桃園市,1979,9,121.00,24.95,0.643747,
桃園市,1979,10,121.00,24.95,0.938958,
桃園市,1979,11,121.00,24.95,1.81381,
桃園市,1979,12,121.00,24.95,0.0247273,
桃園市,1980,1,121.00,24.95,3.1869,
桃園市,1980,2,121.00,24.95,4.87365,
桃園市,1980,3,121.00,24.95,2.90825,
桃園市,1980,4,121.00,24.95,4.94248,
桃園市,1980,5,121.00,24.95,4.02807,
桃園市,1980,6,121.00,24.95,0,
桃園市,1980,7,121.00,24.95,0.83204,
桃園市,1980,8,121.00,24.95,3.72058,
桃園市,1980,9,121.00,24.95,1.86959,
桃園市,1980,10,121.00,24.95,1.126,
桃園市,1980,11,121.00,24.95,0.461109,
桃園市,1980,12,121.00,24.95,0.0786316,
桃園市,1981,1,121.00,24.95,0,
桃園市,1981,2,121.00,24.95,2.96018,
桃園市,1981,3,121.00,24.95,4.07121,
桃園市,1981,4,121.00,24.95,2.43954,
桃園市,1981,5,121.00,24.95,19.4658,
桃園市,1981,6,121.00,24.95,11.7159,
桃園市,1981,7,121.00,24.95,11.5601,
桃園市,1981,8,121.00,24.95,1.22186,
桃園市,1981,9,121.00,24.95,2.06492,
桃園市,1981,10,121.00,24.95,0.143435,
桃園市,1981,11,121.00,24.95,4.0214,
桃園市,1981,12,121.00,24.95,2.57403,
桃園市,1982,1,121.00,24.95,0.149538,
桃園市,1982,2,121.00,24.95,3.64004,
桃園市,1982,3,121.00,24.95,4.61762,
桃園市,1982,4,121.00,24.95,5.62868,
桃園市,1982,5,121.00,24.95,5.12444,
桃園市,1982,6,121.00,24.95,14.5512,
桃園市,1982,7,121.00,24.95,4.02136,
桃園市,1982,8,121.00,24.95,3.30645,
桃園市,1982,9,121.00,24.95,0.164708,
桃園市,1982,10,121.00,24.95,0.0993016,
桃園市,1982,11,121.00,24.95,3.80482,
桃園市,1982,12,121.00,24.95,1.63494,
桃園市,1983,1,121.00,24.95,3.45992,
桃園市,1983,2,121.00,24.95,12.5644,
桃園市,1983,3,121.00,24.95,17.1706,
桃園市,1983,4,121.00,24.95,2.59622,
桃園市,1983,5,121.00,24.95,8.19184,
桃園市,1983,6,121.00,24.95,2.70649,
桃園市,1983,7,121.00,24.95,1.11182,
桃園市,1983,8,121.00,24.95,1.76053,
桃園市,1983,9,121.00,24.95,1.30033,
桃園市,1983,10,121.00,24.95,0.00297965,
桃園市,1983,11,121.00,24.95,0.0422437,
桃園市,1983,12,121.00,24.95,1.62237,
桃園市,1984,1,121.00,24.95,1.17833,
桃園市,1984,2,121.00,24.95,2.34254,
桃園市,1984,3,121.00,24.95,7.61621,
桃園市,1984,4,121.00,24.95,10.4852,
桃園市,1984,5,121.00,24.95,12.4057,
桃園市,1984,6,121.00,24.95,5.53701,
桃園市,1984,7,121.00,24.95,1.14896,
桃園市,1984,8,121.00,24.95,8.23996,
桃園市,1984,9,121.00,24.95,1.56773,
桃園市,1984,10,121.00,24.95,0.437091,
桃園市,1984,11,121.00,24.95,0.801584,
桃園市,1984,12,121.00,24.95,0.377121,
桃園市,1985,1,121.00,24.95,1.63669,
桃園市,1985,2,121.00,24.95,15.4531,
桃園市,1985,3,121.00,24.95,4.34829,
桃園市,1985,4,121.00,24.95,4.68753,
桃園市,1985,5,121.00,24.95,5.087,
桃園市,1985,6,121.00,24.95,4.93242,
桃園市,1985,7,121.00,24.95,2.61114,
桃園市,1985,8,121.00,24.95,4.58448,
桃園市,1985,9,121.00,24.95,1.29029,
桃園市,1985,10,121.00,24.95,1.05805,
桃園市,1985,11,121.00,24.95,0.969791,
桃園市,1985,12,121.00,24.95,2.95183,
桃園市,1986,1,121.00,24.95,0.423553,
桃園市,1986,2,121.00,24.95,4.71711,
桃園市,1986,3,121.00,24.95,11.4087,
桃園市,1986,4,121.00,24.95,1.02664,
桃園市,1986,5,121.00,24.95,8.49605,
桃園市,1986,6,121.00,24.95,5.89049,
桃園市,1986,7,121.00,24.95,0.266258,
桃園市,1986,8,121.00,24.95,4.83412,
桃園市,1986,9,121.00,24.95,4.49329,
桃園市,1986,10,121.00,24.95,0.497813,
桃園市,1986,11,121.00,24.95,4.69499,
桃園市,1986,12,121.00,24.95,0.586751,
桃園市,1987,1,121.00,24.95,2.42309,
桃園市,1987,2,121.00,24.95,1.3316,
桃園市,1987,3,121.00,24.95,8.11771,
桃園市,1987,4,121.00,24.95,3.71086,
桃園市,1987,5,121.00,24.95,7.20159,
桃園市,1987,6,121.00,24.95,4.47479,
桃園市,1987,7,121.00,24.95,2.51443,
桃園市,1987,8,121.00,24.95,0.360695,
桃園市,1987,9,121.00,24.95,7.16386,
桃園市,1987,10,121.00,24.95,3.43277,
桃園市,1987,11,121.00,24.95,4.13413,
