CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
臺南市,1960,1,120.05,23.05,0,
臺南市,1960,2,120.05,23.05,0,
臺南市,1960,3,120.05,23.05,1.69005,
臺南市,1960,4,120.05,23.05,0.984417,
臺南市,1960,5,120.05,23.05,0.486228,
臺南市,1960,6,120.05,23.05,7.98061,
臺南市,1960,7,120.05,23.05,6.10143,
臺南市,1960,8,120.05,23.05,24.8952,
臺南市,1960,9,120.05,23.05,1.92163,
臺南市,1960,10,120.05,23.05,0,
臺南市,1960,11,120.05,23.05,0.0086681,
臺南市,1960,12,120.05,23.05,0.19131,
臺南市,1961,1,120.05,23.05,0.0980943,
臺南市,1961,2,120.05,23.05,0.263707,
臺南市,1961,3,120.05,23.05,0.915609,
臺南市,1961,4,120.05,23.05,1.82562,
臺南市,1961,5,120.05,23.05,2.23973,
臺南市,1961,6,120.05,23.05,0.735156,
臺南市,1961,7,120.05,23.05,5.09919,
臺南市,1961,8,120.05,23.05,10.7612,
臺南市,1961,9,120.05,23.05,1.99026,
臺南市,1961,10,120.05,23.05,0,
臺南市,1961,11,120.05,23.05,0.595779,
臺南市,1961,12,120.05,23.05,0.0121766,
臺南市,1962,1,120.05,23.05,0.0524087,
臺南市,1962,2,120.05,23.05,0.379598,
臺南市,1962,3,120.05,23.05,1.78625,
臺南市,1962,4,120.05,23.05,1.16031,
臺南市,1962,5,120.05,23.05,0,
臺南市,1962,6,120.05,23.05,7.08475,
臺南市,1962,7,120.05,23.05,8.29859,
臺南市,1962,8,120.05,23.05,1.50532,
臺南市,1962,9,120.05,23.05,3.47712,
臺南市,1962,10,120.05,23.05,0.0680382,
臺南市,1962,11,120.05,23.05,0,
臺南市,1962,12,120.05,23.05,0,
臺南市,1963,1,120.05,23.05,0,
臺南市,1963,2,120.05,23.05,0,
臺南市,1963,3,120.05,23.05,0.665771,
臺南市,1963,4,120.05,23.05,0,
臺南市,1963,5,120.05,23.05,0,
臺南市,1963,6,120.05,23.05,2.89328,
臺南市,1963,7,120.05,23.05,14.0218,
臺南市,1963,8,120.05,23.05,0.197256,
臺南市,1963,9,120.05,23.05,4.01843,
臺南市,1963,10,120.05,23.05,0,
臺南市,1963,11,120.05,23.05,0.00613552,
臺南市,1963,12,120.05,23.05,0,
臺南市,1964,1,120.05,23.05,0.654167,
臺南市,1964,2,120.05,23.05,0,
臺南市,1964,3,120.05,23.05,0.0274793,
臺南市,1964,4,120.05,23.05,0,
臺南市,1964,5,120.05,23.05,1.60775,
臺南市,1964,6,120.05,23.05,5.88306,
臺南市,1964,7,120.05,23.05,0.159907,
臺南市,1964,8,120.05,23.05,1.54444,
臺南市,1964,9,120.05,23.05,0.807334,
臺南市,1964,10,120.05,23.05,0,
臺南市,1964,11,120.05,23.05,0,
臺南市,1964,12,120.05,23.05,0,
臺南市,1965,1,120.05,23.05,0.0387929,
臺南市,1965,2,120.05,23.05,0,
臺南市,1965,3,120.05,23.05,0.0402282,
臺南市,1965,4,120.05,23.05,0.199307,
臺南市,1965,5,120.05,23.05,0.983652,
臺南市,1965,6,120.05,23.05,10.1435,
臺南市,1965,7,120.05,23.05,7.75919,
臺南市,1965,8,120.05,23.05,7.47849,
臺南市,1965,9,120.05,23.05,0,
臺南市,1965,10,120.05,23.05,0.0676976,
臺南市,1965,11,120.05,23.05,1.25879,
臺南市,1965,12,120.05,23.05,0,
臺南市,1966,1,120.05,23.05,0.00222092,
臺南市,1966,2,120.05,23.05,1.01232,
臺南市,1966,3,120.05,23.05,1.71636,
臺南市,1966,4,120.05,23.05,1.0858,
臺南市,1966,5,120.05,23.05,6.74,
臺南市,1966,6,120.05,23.05,13.6329,
臺南市,1966,7,120.05,23.05,4.43741,
臺南市,1966,8,120.05,23.05,3.13679,
臺南市,1966,9,120.05,23.05,1.29413,
臺南市,1966,10,120.05,23.05,0,
臺南市,1966,11,120.05,23.05,0.38857,
臺南市,1966,12,120.05,23.05,0,
臺南市,1967,1,120.05,23.05,0,
臺南市,1967,2,120.05,23.05,0.201653,
臺南市,1967,3,120.05,23.05,0.00370293,
臺南市,1967,4,120.05,23.05,2.59813,
臺南市,1967,5,120.05,23.05,4.9524,
臺南市,1967,6,120.05,23.05,6.43286,
臺南市,1967,7,120.05,23.05,3.43184,
臺南市,1967,8,120.05,23.05,6.28404,
臺南市,1967,9,120.05,23.05,0.026584,
臺南市,1967,10,120.05,23.05,0.260277,
臺南市,1967,11,120.05,23.05,0.288849,
臺南市,1967,12,120.05,23.05,0.0932421,
臺南市,1968,1,120.05,23.05,0,
臺南市,1968,2,120.05,23.05,1.09629,
臺南市,1968,3,120.05,23.05,3.22698,
臺南市,1968,4,120.05,23.05,0.156604,
臺南市,1968,5,120.05,23.05,4.77711,
臺南市,1968,6,120.05,23.05,10.7007,
臺南市,1968,7,120.05,23.05,16.058,
臺南市,1968,8,120.05,23.05,6.39681,
臺南市,1968,9,120.05,23.05,7.47039,
臺南市,1968,10,120.05,23.05,3.43755,
臺南市,1968,11,120.05,23.05,0,
臺南市,1968,12,120.05,23.05,0,
臺南市,1969,1,120.05,23.05,0.453196,
臺南市,1969,2,120.05,23.05,0.0593043,
臺南市,1969,3,120.05,23.05,0.827191,
臺南市,1969,4,120.05,23.05,2.8536,
臺南市,1969,5,120.05,23.05,2.27859,
臺南市,1969,6,120.05,23.05,13.5245,
臺南市,1969,7,120.05,23.05,1.29967,
臺南市,1969,8,120.05,23.05,4.1219,
臺南市,1969,9,120.05,23.05,6.12023,
臺南市,1969,10,120.05,23.05,0.0141751,
臺南市,1969,11,120.05,23.05,0,
臺南市,1969,12,120.05,23.05,0,
臺南市,1970,1,120.05,23.05,0.409813,
臺南市,1970,2,120.05,23.05,0,
臺南市,1970,3,120.05,23.05,0.031204,
臺南市,1970,4,120.05,23.05,0,
臺南市,1970,5,120.05,23.05,6.85076,
臺南市,1970,6,120.05,23.05,0.549254,
臺南市,1970,7,120.05,23.05,7.76812,
臺南市,1970,8,120.05,23.05,4.98369,
臺南市,1970,9,120.05,23.05,5.053,
臺南市,1970,10,120.05,23.05,0.337851,
臺南市,1970,11,120.05,23.05,0.10996,
臺南市,1970,12,120.05,23.05,0.00451676,
臺南市,1971,1,120.05,23.05,0.123044,
臺南市,1971,2,120.05,23.05,0,
臺南市,1971,3,120.05,23.05,0.030859,
臺南市,1971,4,120.05,23.05,0.556217,
臺南市,1971,5,120.05,23.05,0,
臺南市,1971,6,120.05,23.05,8.68035,
臺南市,1971,7,120.05,23.05,6.15967,
臺南市,1971,8,120.05,23.05,2.82254,
臺南市,1971,9,120.05,23.05,6.13595,
臺南市,1971,10,120.05,23.05,0.0322565,
臺南市,1971,11,120.05,23.05,0,
臺南市,1971,12,120.05,23.05,0.555247,
臺南市,1972,1,120.05,23.05,1.96807,
