CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
雲林縣,1960,1,120.00,23.45,0,
雲林縣,1960,2,120.00,23.45,0,
雲林縣,1960,3,120.00,23.45,1.32617,
雲林縣,1960,4,120.00,23.45,2.4957,
雲林縣,1960,5,120.00,23.45,1.82134,
雲林縣,1960,6,120.00,23.45,4.34654,
雲林縣,1960,7,120.00,23.45,5.20048,
雲林縣,1960,8,120.00,23.45,14.7372,
雲林縣,1960,9,120.00,23.45,0.414777,
雲林縣,1960,10,120.00,23.45,0,
雲林縣,1960,11,120.00,23.45,0,
雲林縣,1960,12,120.00,23.45,0,
雲林縣,1961,1,120.00,23.45,0.41674,
雲林縣,1961,2,120.00,23.45,0.748071,
雲林縣,1961,3,120.00,23.45,1.87768,
雲林縣,1961,4,120.00,23.45,1.72216,
雲林縣,1961,5,120.00,23.45,2.34118,
雲林縣,1961,6,120.00,23.45,0.323211,
雲林縣,1961,7,120.00,23.45,2.21535,
雲林縣,1961,8,120.00,23.45,7.17476,
雲林縣,1961,9,120.00,23.45,2.81767,
雲林縣,1961,10,120.00,23.45,0,
雲林縣,1961,11,120.00,23.45,0.329636,
雲林縣,1961,12,120.00,23.45,0.019237,
雲林縣,1962,1,120.00,23.45,0.130544,
雲林縣,1962,2,120.00,23.45,0.62616,
雲林縣,1962,3,120.00,23.45,2.18457,
雲林縣,1962,4,120.00,23.45,0.786581,
雲林縣,1962,5,120.00,23.45,0.815473,
雲林縣,1962,6,120.00,23.45,5.31273,
雲林縣,1962,7,120.00,23.45,4.46094,
雲林縣,1962,8,120.00,23.45,1.87028,
雲林縣,1962,9,120.00,23.45,2.76196,
雲林縣,1962,10,120.00,23.45,0.161541,
雲林縣,1962,11,120.00,23.45,0.300395,
雲林縣,1962,12,120.00,23.45,0,
雲林縣,1963,1,120.00,23.45,0,
雲林縣,1963,2,120.00,23.45,0.103372,
雲林縣,1963,3,120.00,23.45,0.360579,
雲林縣,1963,4,120.00,23.45,0.157716,
雲林縣,1963,5,120.00,23.45,0,
雲林縣,1963,6,120.00,23.45,3.19988,
雲林縣,1963,7,120.00,23.45,10.8948,
雲林縣,1963,8,120.00,23.45,0.44345,
雲林縣,1963,9,120.00,23.45,5.26006,
雲林縣,1963,10,120.00,23.45,0,
雲林縣,1963,11,120.00,23.45,0.431077,
雲林縣,1963,12,120.00,23.45,0.0480709,
雲林縣,1964,1,120.00,23.45,1.71393,
雲林縣,1964,2,120.00,23.45,0.0239756,
雲林縣,1964,3,120.00,23.45,0.0173089,
雲林縣,1964,4,120.00,23.45,0,
雲林縣,1964,5,120.00,23.45,1.78441,
雲林縣,1964,6,120.00,23.45,3.10568,
雲林縣,1964,7,120.00,23.45,0.0437558,
雲林縣,1964,8,120.00,23.45,0.821768,
雲林縣,1964,9,120.00,23.45,0.0308836,
雲林縣,1964,10,120.00,23.45,0,
雲林縣,1964,11,120.00,23.45,0,
雲林縣,1964,12,120.00,23.45,0,
雲林縣,1965,1,120.00,23.45,0,
雲林縣,1965,2,120.00,23.45,0,
雲林縣,1965,3,120.00,23.45,0.129129,
雲林縣,1965,4,120.00,23.45,0.694876,
雲林縣,1965,5,120.00,23.45,0.728413,
雲林縣,1965,6,120.00,23.45,8.33052,
雲林縣,1965,7,120.00,23.45,3.54079,
雲林縣,1965,8,120.00,23.45,6.72477,
雲林縣,1965,9,120.00,23.45,0,
雲林縣,1965,10,120.00,23.45,0.0368606,
雲林縣,1965,11,120.00,23.45,0.654715,
雲林縣,1965,12,120.00,23.45,0,
雲林縣,1966,1,120.00,23.45,0,
雲林縣,1966,2,120.00,23.45,0.624298,
雲林縣,1966,3,120.00,23.45,1.60568,
雲林縣,1966,4,120.00,23.45,0.796664,
雲林縣,1966,5,120.00,23.45,3.87976,
雲林縣,1966,6,120.00,23.45,15.7262,
雲林縣,1966,7,120.00,23.45,2.0604,
雲林縣,1966,8,120.00,23.45,1.63121,
雲林縣,1966,9,120.00,23.45,0.371152,
雲林縣,1966,10,120.00,23.45,0,
雲林縣,1966,11,120.00,23.45,0.246768,
雲林縣,1966,12,120.00,23.45,0,
雲林縣,1967,1,120.00,23.45,0,
雲林縣,1967,2,120.00,23.45,0.0794087,
雲林縣,1967,3,120.00,23.45,0.122871,
雲林縣,1967,4,120.00,23.45,2.51218,
雲林縣,1967,5,120.00,23.45,3.40166,
雲林縣,1967,6,120.00,23.45,6.0503,
雲林縣,1967,7,120.00,23.45,4.3996,
雲林縣,1967,8,120.00,23.45,3.41403,
雲林縣,1967,9,120.00,23.45,0.090057,
雲林縣,1967,10,120.00,23.45,0,
雲林縣,1967,11,120.00,23.45,0.0452717,
雲林縣,1967,12,120.00,23.45,0,
雲林縣,1968,1,120.00,23.45,0,
雲林縣,1968,2,120.00,23.45,3.29438,
雲林縣,1968,3,120.00,23.45,5.26735,
雲林縣,1968,4,120.00,23.45,0.146985,
雲林縣,1968,5,120.00,23.45,4.15954,
雲林縣,1968,6,120.00,23.45,12.1044,
雲林縣,1968,7,120.00,23.45,7.09886,
雲林縣,1968,8,120.00,23.45,3.75481,
雲林縣,1968,9,120.00,23.45,1.86609,
雲林縣,1968,10,120.00,23.45,2.86051,
雲林縣,1968,11,120.00,23.45,0,
雲林縣,1968,12,120.00,23.45,0,
雲林縣,1969,1,120.00,23.45,0.618453,
雲林縣,1969,2,120.00,23.45,0.0716672,
雲林縣,1969,3,120.00,23.45,0.659989,
雲林縣,1969,4,120.00,23.45,1.35419,
雲林縣,1969,5,120.00,23.45,4.17671,
雲林縣,1969,6,120.00,23.45,5.1381,
雲林縣,1969,7,120.00,23.45,1.05551,
雲林縣,1969,8,120.00,23.45,2.84947,
雲林縣,1969,9,120.00,23.45,4.94473,
雲林縣,1969,10,120.00,23.45,0,
雲林縣,1969,11,120.00,23.45,0,
雲林縣,1969,12,120.00,23.45,0,
雲林縣,1970,1,120.00,23.45,0.323281,
雲林縣,1970,2,120.00,23.45,0,
雲林縣,1970,3,120.00,23.45,0.479996,
雲林縣,1970,4,120.00,23.45,0,
雲林縣,1970,5,120.00,23.45,5.49767,
雲林縣,1970,6,120.00,23.45,1.17934,
雲林縣,1970,7,120.00,23.45,4.47563,
雲林縣,1970,8,120.00,23.45,2.94398,
雲林縣,1970,9,120.00,23.45,5.48006,
雲林縣,1970,10,120.00,23.45,0.284698,
雲林縣,1970,11,120.00,23.45,0.22311,
雲林縣,1970,12,120.00,23.45,0,
雲林縣,1971,1,120.00,23.45,0.0445516,
雲林縣,1971,2,120.00,23.45,0.363921,
雲林縣,1971,3,120.00,23.45,0,
雲林縣,1971,4,120.00,23.45,0.194378,
雲林縣,1971,5,120.00,23.45,0.0853116,
雲林縣,1971,6,120.00,23.45,12.0742,
雲林縣,1971,7,120.00,23.45,4.57745,
雲林縣,1971,8,120.00,23.45,1.23257,
雲林縣,1971,9,120.00,23.45,3.02849,
雲林縣,1971,10,120.00,23.45,0.033167,
雲林縣,1971,11,120.00,23.45,0,
雲林縣,1971,12,120.00,23.45,0.505354,
雲林縣,1972,1,120.00,23.45,1.53349,
雲林縣,1972,2,120.00,23.45,0.577602,
雲林縣,1972,3,120.00,23.45,0,
雲林縣,1972,4,120.00,23.45,0.639597,
雲林縣,1972,5,120.00,23.45,5.63247,
雲林縣,1972,6,120.00,23.45,16.0847,
雲林縣,1972,7,120.00,23.45,6.64618,
雲林縣,1972,8,120.00,23.45,12.693,
雲林縣,1972,9,120.00,23.45,0,
雲林縣,1972,10,120.00,23.45,0,
雲林縣,1972,11,120.00,23.45,0.00205367,
雲林縣,1972,12,120.00,23.45,0.144061,
雲林縣,1973,1,120.00,23.45,0.454138,
雲林縣,1973,2,120.00,23.45,0.218058,
雲林縣,1973,3,120.00,23.45,0.0114278,
雲林縣,1973,4,120.00,23.45,6.16705,
雲林縣,1973,5,120.00,23.45,0.301489,
雲林縣,1973,6,120.00,23.45,7.18725,
雲林縣,1973,7,120.00,23.45,6.79841,
雲林縣,1973,8,120.00,23.45,3.81696,
雲林縣,1973,9,120.00,23.45,0,
雲林縣,1973,10,120.00,23.45,2.74506,
雲林縣,1973,11,120.00,23.45,0.0442378,
雲林縣,1973,12,120.00,23.45,0,
雲林縣,1974,1,120.00,23.45,0,
雲林縣,1974,2,120.00,23.45,0.493112,
雲林縣,1974,3,120.00,23.45,0,
雲林縣,1974,4,120.00,23.45,1.76961,
雲林縣,1974,5,120.00,23.45,3.98749,
雲林縣,1974,6,120.00,23.45,9.64224,
雲林縣,1974,7,120.00,23.45,6.27533,
雲林縣,1974,8,120.00,23.45,4.43108,
雲林縣,1974,9,120.00,23.45,5.76371,
雲林縣,1974,10,120.00,23.45,0.896965,
雲林縣,1974,11,120.00,23.45,0,
雲林縣,1974,12,120.00,23.45,0.0429857,
雲林縣,1975,1,120.00,23.45,0.0763541,
雲林縣,1975,2,120.00,23.45,0.303334,
雲林縣,1975,3,120.00,23.45,1.24054,
雲林縣,1975,4,120.00,23.45,2.35648,
雲林縣,1975,5,120.00,23.45,1.16438,
雲林縣,1975,6,120.00,23.45,20.7569,
雲林縣,1975,7,120.00,23.45,2.32905,
雲林縣,1975,8,120.00,23.45,15.5587,
雲林縣,1975,9,120.00,23.45,0.859098,
雲林縣,1975,10,120.00,23.45,1.87767,
雲林縣,1975,11,120.00,23.45,0,
雲林縣,1975,12,120.00,23.45,1.2657,
雲林縣,1976,1,120.00,23.45,0.500208,
雲林縣,1976,2,120.00,23.45,0.0341041,
雲林縣,1976,3,120.00,23.45,0,
雲林縣,1976,4,120.00,23.45,0,
雲林縣,1976,5,120.00,23.45,5.00899,
雲林縣,1976,6,120.00,23.45,4.51418,
雲林縣,1976,7,120.00,23.45,5.24046,
雲林縣,1976,8,120.00,23.45,1.70674,
雲林縣,1976,9,120.00,23.45,1.74271,
雲林縣,1976,10,120.00,23.45,0.566142,
雲林縣,1976,11,120.00,23.45,0,
雲林縣,1976,12,120.00,23.45,0,
雲林縣,1977,1,120.00,23.45,0.522495,
雲林縣,1977,2,120.00,23.45,0,
雲林縣,1977,3,120.00,23.45,0,
雲林縣,1977,4,120.00,23.45,0.275066,
雲林縣,1977,5,120.00,23.45,6.50184,
雲林縣,1977,6,120.00,23.45,18.0043,
雲林縣,1977,7,120.00,23.45,15.1538,
雲林縣,1977,8,120.00,23.45,5.72293,
雲林縣,1977,9,120.00,23.45,1.60549,
雲林縣,1977,10,120.00,23.45,0,
雲林縣,1977,11,120.00,23.45,0.0374531,
雲林縣,1977,12,120.00,23.45,0.0680025,
雲林縣,1978,1,120.00,23.45,1.01535,
雲林縣,1978,2,120.00,23.45,0.0972517,
雲林縣,1978,3,120.00,23.45,2.96691,
雲林縣,1978,4,120.00,23.45,3.02417,
雲林縣,1978,5,120.00,23.45,4.76329,
雲林縣,1978,6,120.00,23.45,0.818255,
雲林縣,1978,7,120.00,23.45,2.10961,
雲林縣,1978,8,120.00,23.45,3.74467,
雲林縣,1978,9,120.00,23.45,0.151348,
雲林縣,1978,10,120.00,23.45,0.180085,
雲林縣,1978,11,120.00,23.45,0.310626,
雲林縣,1978,12,120.00,23.45,0,
雲林縣,1979,1,120.00,23.45,0.947398,
雲林縣,1979,2,120.00,23.45,0.428159,
雲林縣,1979,3,120.00,23.45,0.369425,
雲林縣,1979,4,120.00,23.45,0.908293,
雲林縣,1979,5,120.00,23.45,3.74958,
雲林縣,1979,6,120.00,23.45,9.81209,
雲林縣,1979,7,120.00,23.45,1.71012,
雲林縣,1979,8,120.00,23.45,4.32933,
雲林縣,1979,9,120.00,23.45,0,
雲林縣,1979,10,120.00,23.45,0,
雲林縣,1979,11,120.00,23.45,0.405236,
雲林縣,1979,12,120.00,23.45,0,
雲林縣,1980,1,120.00,23.45,0.680225,
雲林縣,1980,2,120.00,23.45,0.773808,
雲林縣,1980,3,120.00,23.45,0,
雲林縣,1980,4,120.00,23.45,1.52487,
雲林縣,1980,5,120.00,23.45,0.782457,
雲林縣,1980,6,120.00,23.45,0,
雲林縣,1980,7,120.00,23.45,0.178946,
雲林縣,1980,8,120.00,23.45,3.71163,
雲林縣,1980,9,120.00,23.45,0.0452992,
雲林縣,1980,10,120.00,23.45,0.238711,
雲林縣,1980,11,120.00,23.45,0.891743,
雲林縣,1980,12,120.00,23.45,0,
雲林縣,1981,1,120.00,23.45,0,
雲林縣,1981,2,120.00,23.45,0.187804,
雲林縣,1981,3,120.00,23.45,4.03816,
雲林縣,1981,4,120.00,23.45,0.585603,
雲林縣,1981,5,120.00,23.45,7.39788,
雲林縣,1981,6,120.00,23.45,7.44473,
雲林縣,1981,7,120.00,23.45,6.47533,
雲林縣,1981,8,120.00,23.45,2.34659,
雲林縣,1981,9,120.00,23.45,5.57254,
雲林縣,1981,10,120.00,23.45,0,
雲林縣,1981,11,120.00,23.45,0.145114,
雲林縣,1981,12,120.00,23.45,0.21286,
雲林縣,1982,1,120.00,23.45,0,
雲林縣,1982,2,120.00,23.45,0.126993,
雲林縣,1982,3,120.00,23.45,0.519736,
雲林縣,1982,4,120.00,23.45,0.82808,
雲林縣,1982,5,120.00,23.45,6.43985,
雲林縣,1982,6,120.00,23.45,10.1097,
雲林縣,1982,7,120.00,23.45,12.7629,
雲林縣,1982,8,120.00,23.45,0.786133,
雲林縣,1982,9,120.00,23.45,0,
雲林縣,1982,10,120.00,23.45,0,
雲林縣,1982,11,120.00,23.45,1.71064,
雲林縣,1982,12,120.00,23.45,0,
雲林縣,1983,1,120.00,23.45,0.210562,
雲林縣,1983,2,120.00,23.45,4.02864,
雲林縣,1983,3,120.00,23.45,6.59544,
雲林縣,1983,4,120.00,23.45,2.29194,
雲林縣,1983,5,120.00,23.45,8.7728,
雲林縣,1983,6,120.00,23.45,5.51433,
雲林縣,1983,7,120.00,23.45,0.0971196,
雲林縣,1983,8,120.00,23.45,5.50548,
雲林縣,1983,9,120.00,23.45,0.0818077,
雲林縣,1983,10,120.00,23.45,0,
雲林縣,1983,11,120.00,23.45,0,
雲林縣,1983,12,120.00,23.45,0.0859578,
雲林縣,1984,1,120.00,23.45,0.067656,
雲林縣,1984,2,120.00,23.45,0,
雲林縣,1984,3,120.00,23.45,0.312163,
雲林縣,1984,4,120.00,23.45,4.08991,
雲林縣,1984,5,120.00,23.45,6.69647,
雲林縣,1984,6,120.00,23.45,0.861799,
雲林縣,1984,7,120.00,23.45,1.20501,
雲林縣,1984,8,120.00,23.45,3.63731,
雲林縣,1984,9,120.00,23.45,0.527581,
雲林縣,1984,10,120.00,23.45,0.194863,
雲林縣,1984,11,120.00,23.45,0,
雲林縣,1984,12,120.00,23.45,0.0751156,
雲林縣,1985,1,120.00,23.45,0.31898,
雲林縣,1985,2,120.00,23.45,4.31222,
雲林縣,1985,3,120.00,23.45,0.389346,
雲林縣,1985,4,120.00,23.45,1.85442,
雲林縣,1985,5,120.00,23.45,4.3245,
雲林縣,1985,6,120.00,23.45,5.11612,
雲林縣,1985,7,120.00,23.45,0.720807,
雲林縣,1985,8,120.00,23.45,5.32331,
雲林縣,1985,9,120.00,23.45,0.825948,
雲林縣,1985,10,120.00,23.45,0.0103588,
雲林縣,1985,11,120.00,23.45,0.220677,
雲林縣,1985,12,120.00,23.45,1.47526,
雲林縣,1986,1,120.00,23.45,0,
雲林縣,1986,2,120.00,23.45,0.984444,
雲林縣,1986,3,120.00,23.45,0.581126,
雲林縣,1986,4,120.00,23.45,0,
雲林縣,1986,5,120.00,23.45,9.3412,
雲林縣,1986,6,120.00,23.45,5.48426,
雲林縣,1986,7,120.00,23.45,0.747527,
雲林縣,1986,8,120.00,23.45,5.84698,
雲林縣,1986,9,120.00,23.45,2.92987,
雲林縣,1986,10,120.00,23.45,0,
雲林縣,1986,11,120.00,23.45,3.36468,
雲林縣,1986,12,120.00,23.45,0.238838,
雲林縣,1987,1,120.00,23.45,0.0167789,
雲林縣,1987,2,120.00,23.45,0,
雲林縣,1987,3,120.00,23.45,3.35873,
雲林縣,1987,4,120.00,23.45,1.49708,
雲林縣,1987,5,120.00,23.45,8.47447,
雲林縣,1987,6,120.00,23.45,2.08186,
雲林縣,1987,7,120.00,23.45,5.09142,
雲林縣,1987,8,120.00,23.45,1.331,
雲林縣,1987,9,120.00,23.45,1.59995,
雲林縣,1987,10,120.00,23.45,0.564691,
雲林縣,1987,11,120.00,23.45,0.0582192,
雲林縣,1987,12,120.00,23.45,0.21219,
雲林縣,1988,1,120.00,23.45,0.912081,
雲林縣,1988,2,120.00,23.45,0.398811,
雲林縣,1988,3,120.00,23.45,0.496144,
雲林縣,1988,4,120.00,23.45,3.08049,
雲林縣,1988,5,120.00,23.45,3.1387,
雲林縣,1988,6,120.00,23.45,3.21566,
雲林縣,1988,7,120.00,23.45,1.91436,
雲林縣,1988,8,120.00,23.45,9.99806,
雲林縣,1988,9,120.00,23.45,5.81441,
雲林縣,1988,10,120.00,23.45,0.121185,
雲林縣,1988,11,120.00,23.45,0.288037,
雲林縣,1988,12,120.00,23.45,0.231715,
雲林縣,1989,1,120.00,23.45,0.333057,
雲林縣,1989,2,120.00,23.45,0,
雲林縣,1989,3,120.00,23.45,0.701671,
雲林縣,1989,4,120.00,23.45,3.28804,
雲林縣,1989,5,120.00,23.45,2.36158,
雲林縣,1989,6,120.00,23.45,0.743875,
雲林縣,1989,7,120.00,23.45,1.28983,
雲林縣,1989,8,120.00,23.45,1.43161,
雲林縣,1989,9,120.00,23.45,9.70725,
雲林縣,1989,10,120.00,23.45,0,
雲林縣,1989,11,120.00,23.45,0,
雲林縣,1989,12,120.00,23.45,0.928133,
雲林縣,1990,1,120.00,23.45,0.0852179,
雲林縣,1990,2,120.00,23.45,1.15735,
雲林縣,1990,3,120.00,23.45,0.969894,
雲林縣,1990,4,120.00,23.45,8.91331,
雲林縣,1990,5,120.00,23.45,2.29514,
雲林縣,1990,6,120.00,23.45,10.1895,
雲林縣,1990,7,120.00,23.45,2.32525,
雲林縣,1990,8,120.00,23.45,9.22528,
雲林縣,1990,9,120.00,23.45,3.47333,
雲林縣,1990,10,120.00,23.45,0,
雲林縣,1990,11,120.00,23.45,0,
雲林縣,1990,12,120.00,23.45,0,
雲林縣,1991,1,120.00,23.45,0.43309,
雲林縣,1991,2,120.00,23.45,0.52656,
雲林縣,1991,3,120.00,23.45,0.218165,
雲林縣,1991,4,120.00,23.45,0.444353,
雲林縣,1991,5,120.00,23.45,0.337242,
雲林縣,1991,6,120.00,23.45,14.7021,
雲林縣,1991,7,120.00,23.45,5.79721,
雲林縣,1991,8,120.00,23.45,0.266041,
雲林縣,1991,9,120.00,23.45,1.3032,
