CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
高雄市,1960,1,120.20,22.80,0,
高雄市,1960,2,120.20,22.80,0,
高雄市,1960,3,120.20,22.80,3.89671,
高雄市,1960,4,120.20,22.80,0.466745,
高雄市,1960,5,120.20,22.80,1.2294,
高雄市,1960,6,120.20,22.80,13.3443,
高雄市,1960,7,120.20,22.80,6.26614,
高雄市,1960,8,120.20,22.80,24.494,
高雄市,1960,9,120.20,22.80,1.78761,
高雄市,1960,10,120.20,22.80,0,
高雄市,1960,11,120.20,22.80,0,
高雄市,1960,12,120.20,22.80,0,
高雄市,1961,1,120.20,22.80,0.101881,
高雄市,1961,2,120.20,22.80,0.275458,
高雄市,1961,3,120.20,22.80,1.51025,
高雄市,1961,4,120.20,22.80,1.46359,
高雄市,1961,5,120.20,22.80,2.43686,
高雄市,1961,6,120.20,22.80,1.44369,
高雄市,1961,7,120.20,22.80,6.90097,
高雄市,1961,8,120.20,22.80,14.1104,
高雄市,1961,9,120.20,22.80,3.06675,
高雄市,1961,10,120.20,22.80,0,
高雄市,1961,11,120.20,22.80,1.07922,
高雄市,1961,12,120.20,22.80,0.0405804,
高雄市,1962,1,120.20,22.80,0.193567,
高雄市,1962,2,120.20,22.80,0.0626357,
高雄市,1962,3,120.20,22.80,0.300453,
高雄市,1962,4,120.20,22.80,1.71807,
高雄市,1962,5,120.20,22.80,0,
高雄市,1962,6,120.20,22.80,8.17406,
高雄市,1962,7,120.20,22.80,10.1797,
高雄市,1962,8,120.20,22.80,2.12673,
高雄市,1962,9,120.20,22.80,3.57181,
高雄市,1962,10,120.20,22.80,0.204219,
高雄市,1962,11,120.20,22.80,0,
高雄市,1962,12,120.20,22.80,0,
高雄市,1963,1,120.20,22.80,0,
高雄市,1963,2,120.20,22.80,0.035548,
高雄市,1963,3,120.20,22.80,0.609539,
高雄市,1963,4,120.20,22.80,0,
高雄市,1963,5,120.20,22.80,0,
高雄市,1963,6,120.20,22.80,5.57459,
高雄市,1963,7,120.20,22.80,13.8646,
高雄市,1963,8,120.20,22.80,0.890029,
高雄市,1963,9,120.20,22.80,7.58864,
高雄市,1963,10,120.20,22.80,0,
高雄市,1963,11,120.20,22.80,0.0130968,
高雄市,1963,12,120.20,22.80,0.0562255,
高雄市,1964,1,120.20,22.80,0.731482,
高雄市,1964,2,120.20,22.80,0.00230122,
高雄市,1964,3,120.20,22.80,0.209205,
高雄市,1964,4,120.20,22.80,0,
高雄市,1964,5,120.20,22.80,1.01941,
高雄市,1964,6,120.20,22.80,10.9172,
高雄市,1964,7,120.20,22.80,1.58968,
高雄市,1964,8,120.20,22.80,7.91318,
高雄市,1964,9,120.20,22.80,1.20392,
高雄市,1964,10,120.20,22.80,0.317625,
高雄市,1964,11,120.20,22.80,0,
高雄市,1964,12,120.20,22.80,0,
高雄市,1965,1,120.20,22.80,0.00149735,
高雄市,1965,2,120.20,22.80,0,
高雄市,1965,3,120.20,22.80,0,
高雄市,1965,4,120.20,22.80,0.415243,
高雄市,1965,5,120.20,22.80,0.981856,
高雄市,1965,6,120.20,22.80,18.042,
高雄市,1965,7,120.20,22.80,5.12089,
高雄市,1965,8,120.20,22.80,15.7407,
高雄市,1965,9,120.20,22.80,0.744252,
高雄市,1965,10,120.20,22.80,0.419465,
高雄市,1965,11,120.20,22.80,2.18187,
高雄市,1965,12,120.20,22.80,0,
高雄市,1966,1,120.20,22.80,0,
高雄市,1966,2,120.20,22.80,0.897611,
高雄市,1966,3,120.20,22.80,1.81411,
高雄市,1966,4,120.20,22.80,0.929865,
高雄市,1966,5,120.20,22.80,10.0435,
高雄市,1966,6,120.20,22.80,17.1276,
高雄市,1966,7,120.20,22.80,6.21171,
高雄市,1966,8,120.20,22.80,6.3632,
高雄市,1966,9,120.20,22.80,1.85507,
高雄市,1966,10,120.20,22.80,0,
高雄市,1966,11,120.20,22.80,0.159138,
高雄市,1966,12,120.20,22.80,0,
高雄市,1967,1,120.20,22.80,0,
高雄市,1967,2,120.20,22.80,0.114742,
高雄市,1967,3,120.20,22.80,0.105867,
高雄市,1967,4,120.20,22.80,3.40371,
高雄市,1967,5,120.20,22.80,7.51138,
高雄市,1967,6,120.20,22.80,13.0603,
高雄市,1967,7,120.20,22.80,3.39591,
高雄市,1967,8,120.20,22.80,7.16037,
高雄市,1967,9,120.20,22.80,0.118831,
高雄市,1967,10,120.20,22.80,0.41866,
高雄市,1967,11,120.20,22.80,0.380588,
高雄市,1967,12,120.20,22.80,0,
高雄市,1968,1,120.20,22.80,0,
高雄市,1968,2,120.20,22.80,2.27779,
高雄市,1968,3,120.20,22.80,4.39767,
高雄市,1968,4,120.20,22.80,0.0558754,
高雄市,1968,5,120.20,22.80,4.14291,
高雄市,1968,6,120.20,22.80,10.714,
高雄市,1968,7,120.20,22.80,12.3754,
高雄市,1968,8,120.20,22.80,7.96581,
高雄市,1968,9,120.20,22.80,6.34226,
高雄市,1968,10,120.20,22.80,2.10531,
高雄市,1968,11,120.20,22.80,0,
高雄市,1968,12,120.20,22.80,0,
高雄市,1969,1,120.20,22.80,0.428677,
高雄市,1969,2,120.20,22.80,0.161544,
高雄市,1969,3,120.20,22.80,0.546806,
高雄市,1969,4,120.20,22.80,1.54056,
高雄市,1969,5,120.20,22.80,5.0614,
高雄市,1969,6,120.20,22.80,12.9538,
高雄市,1969,7,120.20,22.80,0.974491,
高雄市,1969,8,120.20,22.80,5.61419,
高雄市,1969,9,120.20,22.80,9.21098,
高雄市,1969,10,120.20,22.80,0.194101,
高雄市,1969,11,120.20,22.80,0,
高雄市,1969,12,120.20,22.80,0,
高雄市,1970,1,120.20,22.80,0.357002,
高雄市,1970,2,120.20,22.80,0,
高雄市,1970,3,120.20,22.80,0.0387538,
高雄市,1970,4,120.20,22.80,0.000601898,
高雄市,1970,5,120.20,22.80,6.76853,
高雄市,1970,6,120.20,22.80,0.377087,
高雄市,1970,7,120.20,22.80,10.9855,
高雄市,1970,8,120.20,22.80,7.05402,
高雄市,1970,9,120.20,22.80,12.3718,
高雄市,1970,10,120.20,22.80,0.71682,
