CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
嘉義市,1960,1,120.40,23.45,17.286,
嘉義市,1960,2,120.40,23.45,17.634,
嘉義市,1960,3,120.40,23.45,22.583,
嘉義市,1960,4,120.40,23.45,22.8175,
嘉義市,1960,5,120.40,23.45,25.8673,
嘉義市,1960,6,120.40,23.45,27.4897,
嘉義市,1960,7,120.40,23.45,28.9471,
嘉義市,1960,8,120.40,23.45,27.3412,
嘉義市,1960,9,120.40,23.45,27.4769,
嘉義市,1960,10,120.40,23.45,24.9446,
嘉義市,1960,11,120.40,23.45,22.3998,
嘉義市,1960,12,120.40,23.45,17.923,
嘉義市,1961,1,120.40,23.45,15.8541,
嘉義市,1961,2,120.40,23.45,17.9465,
嘉義市,1961,3,120.40,23.45,20.7573,
嘉義市,1961,4,120.40,23.45,24.2588,
嘉義市,1961,5,120.40,23.45,26.387,
嘉義市,1961,6,120.40,23.45,28.6267,
嘉義市,1961,7,120.40,23.45,27.7417,
嘉義市,1961,8,120.40,23.45,27.9215,
嘉義市,1961,9,120.40,23.45,27.1341,
嘉義市,1961,10,120.40,23.45,24.8862,
嘉義市,1961,11,120.40,23.45,22.7478,
嘉義市,1961,12,120.40,23.45,19.3023,
嘉義市,1962,1,120.40,23.45,14.3198,
嘉義市,1962,2,120.40,23.45,17.4547,
嘉義市,1962,3,120.40,23.45,19.2696,
嘉義市,1962,4,120.40,23.45,21.8983,
嘉義市,1962,5,120.40,23.45,26.4799,
嘉義市,1962,6,120.40,23.45,27.4509,
嘉義市,1962,7,120.40,23.45,27.4867,
嘉義市,1962,8,120.40,23.45,27.7976,
嘉義市,1962,9,120.40,23.45,27.0753,
嘉義市,1962,10,120.40,23.45,23.985,
嘉義市,1962,11,120.40,23.45,20.552,
嘉義市,1962,12,120.40,23.45,17.1444,
嘉義市,1963,1,120.40,23.45,12.0891,
嘉義市,1963,2,120.40,23.45,15.4415,
嘉義市,1963,3,120.40,23.45,19.6147,
嘉義市,1963,4,120.40,23.45,23.5451,
嘉義市,1963,5,120.40,23.45,27.2912,
嘉義市,1963,6,120.40,23.45,26.8301,
嘉義市,1963,7,120.40,23.45,27.1734,
嘉義市,1963,8,120.40,23.45,28.0871,
嘉義市,1963,9,120.40,23.45,27.5588,
嘉義市,1963,10,120.40,23.45,23.5626,
嘉義市,1963,11,120.40,23.45,22.2154,
嘉義市,1963,12,120.40,23.45,17.6634,
嘉義市,1964,1,120.40,23.45,17.2373,
嘉義市,1964,2,120.40,23.45,16.9358,
嘉義市,1964,3,120.40,23.45,19.404,
嘉義市,1964,4,120.40,23.45,25.0571,
嘉義市,1964,5,120.40,23.45,25.7764,
嘉義市,1964,6,120.40,23.45,26.4932,
嘉義市,1964,7,120.40,23.45,28.0281,
嘉義市,1964,8,120.40,23.45,27.5057,
嘉義市,1964,9,120.40,23.45,27.2518,
嘉義市,1964,10,120.40,23.45,25.6751,
嘉義市,1964,11,120.40,23.45,20.4639,
嘉義市,1964,12,120.40,23.45,16.8552,
嘉義市,1965,1,120.40,23.45,15.4658,
嘉義市,1965,2,120.40,23.45,18.3897,
嘉義市,1965,3,120.40,23.45,18.8532,
嘉義市,1965,4,120.40,23.45,23.4685,
嘉義市,1965,5,120.40,23.45,25.6467,
嘉義市,1965,6,120.40,23.45,26.7342,
嘉義市,1965,7,120.40,23.45,27.5741,
嘉義市,1965,8,120.40,23.45,27.1812,
嘉義市,1965,9,120.40,23.45,26.4869,
嘉義市,1965,10,120.40,23.45,24.4369,
嘉義市,1965,11,120.40,23.45,22.7944,
嘉義市,1965,12,120.40,23.45,18.4706,
嘉義市,1966,1,120.40,23.45,17.6445,
嘉義市,1966,2,120.40,23.45,18.7151,
嘉義市,1966,3,120.40,23.45,21.5182,
嘉義市,1966,4,120.40,23.45,23.9436,
嘉義市,1966,5,120.40,23.45,24.7893,
嘉義市,1966,6,120.40,23.45,26.4349,
嘉義市,1966,7,120.40,23.45,28.0035,
嘉義市,1966,8,120.40,23.45,28.0612,
嘉義市,1966,9,120.40,23.45,25.2489,
嘉義市,1966,10,120.40,23.45,24.6365,
嘉義市,1966,11,120.40,23.45,22.7042,
嘉義市,1966,12,120.40,23.45,19.108,
嘉義市,1967,1,120.40,23.45,15.5205,
嘉義市,1967,2,120.40,23.45,15.8331,
嘉義市,1967,3,120.40,23.45,19.5628,
嘉義市,1967,4,120.40,23.45,22.8234,
嘉義市,1967,5,120.40,23.45,26.2193,
嘉義市,1967,6,120.40,23.45,27.1738,
嘉義市,1967,7,120.40,23.45,28.7102,
嘉義市,1967,8,120.40,23.45,28.2075,
嘉義市,1967,9,120.40,23.45,26.3376,
嘉義市,1967,10,120.40,23.45,23.065,
嘉義市,1967,11,120.40,23.45,21.6952,
嘉義市,1967,12,120.40,23.45,14.7017,
嘉義市,1968,1,120.40,23.45,15.3248,
