CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
基隆市,1960,1,121.65,25.10,15.4304,
基隆市,1960,2,121.65,25.10,16.2589,
基隆市,1960,3,121.65,25.10,19.7292,
基隆市,1960,4,121.65,25.10,19.7051,
基隆市,1960,5,121.65,25.10,23.0211,
基隆市,1960,6,121.65,25.10,26.4624,
基隆市,1960,7,121.65,25.10,28.4254,
基隆市,1960,8,121.65,25.10,26.6064,
基隆市,1960,9,121.65,25.10,26.7477,
基隆市,1960,10,121.65,25.10,22.9833,
基隆市,1960,11,121.65,25.10,20.6756,
基隆市,1960,12,121.65,25.10,16.0715,
基隆市,1961,1,121.65,25.10,13.8186,
基隆市,1961,2,121.65,25.10,14.0337,
基隆市,1961,3,121.65,25.10,16.9268,
基隆市,1961,4,121.65,25.10,20.6007,
基隆市,1961,5,121.65,25.10,23.4972,
基隆市,1961,6,121.65,25.10,27.5209,
基隆市,1961,7,121.65,25.10,27.9795,
基隆市,1961,8,121.65,25.10,28.1618,
基隆市,1961,9,121.65,25.10,26.4406,
基隆市,1961,10,121.65,25.10,23.0998,
基隆市,1961,11,121.65,25.10,20.7784,
基隆市,1961,12,121.65,25.10,17.1482,
基隆市,1962,1,121.65,25.10,12.2778,
基隆市,1962,2,121.65,25.10,14.7766,
基隆市,1962,3,121.65,25.10,16.3372,
基隆市,1962,4,121.65,25.10,19.6234,
基隆市,1962,5,121.65,25.10,23.5722,
基隆市,1962,6,121.65,25.10,26.3665,
基隆市,1962,7,121.65,25.10,28.2012,
基隆市,1962,8,121.65,25.10,27.5145,
基隆市,1962,9,121.65,25.10,26.3695,
基隆市,1962,10,121.65,25.10,22.4441,
基隆市,1962,11,121.65,25.10,19.1841,
基隆市,1962,12,121.65,25.10,15.7752,
基隆市,1963,1,121.65,25.10,10.4489,
基隆市,1963,2,121.65,25.10,12.9067,
基隆市,1963,3,121.65,25.10,16.4853,
基隆市,1963,4,121.65,25.10,21.223,
基隆市,1963,5,121.65,25.10,25.9325,
基隆市,1963,6,121.65,25.10,25.5797,
基隆市,1963,7,121.65,25.10,27.4031,
基隆市,1963,8,121.65,25.10,28.0909,
