CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
宜蘭縣,1960,1,121.30,24.40,6.5138,
宜蘭縣,1960,2,121.30,24.40,7.31342,
宜蘭縣,1960,3,121.30,24.40,11.2495,
宜蘭縣,1960,4,121.30,24.40,11.2021,
宜蘭縣,1960,5,121.30,24.40,13.4918,
宜蘭縣,1960,6,121.30,24.40,14.907,
宜蘭縣,1960,7,121.30,24.40,15.6687,
宜蘭縣,1960,8,121.30,24.40,14.7066,
宜蘭縣,1960,9,121.30,24.40,14.9153,
宜蘭縣,1960,10,121.30,24.40,13.0966,
宜蘭縣,1960,11,121.30,24.40,10.9771,
宜蘭縣,1960,12,121.30,24.40,6.42512,
宜蘭縣,1961,1,121.30,24.40,4.96101,
宜蘭縣,1961,2,121.30,24.40,4.58157,
宜蘭縣,1961,3,121.30,24.40,8.17205,
宜蘭縣,1961,4,121.30,24.40,9.6303,
宜蘭縣,1961,5,121.30,24.40,13.1179,
宜蘭縣,1961,6,121.30,24.40,14.4804,
宜蘭縣,1961,7,121.30,24.40,14.8856,
宜蘭縣,1961,8,121.30,24.40,14.4535,
宜蘭縣,1961,9,121.30,24.40,14.0125,
宜蘭縣,1961,10,121.30,24.40,11.5087,
宜蘭縣,1961,11,121.30,24.40,10.4644,
宜蘭縣,1961,12,121.30,24.40,7.4665,
宜蘭縣,1962,1,121.30,24.40,2.14244,
宜蘭縣,1962,2,121.30,24.40,5.92024,
宜蘭縣,1962,3,121.30,24.40,7.13452,
宜蘭縣,1962,4,121.30,24.40,9.5192,
宜蘭縣,1962,5,121.30,24.40,12.9236,
宜蘭縣,1962,6,121.30,24.40,14.3565,
宜蘭縣,1962,7,121.30,24.40,15.3273,
宜蘭縣,1962,8,121.30,24.40,14.9303,
宜蘭縣,1962,9,121.30,24.40,14.5093,
宜蘭縣,1962,10,121.30,24.40,10.7912,
宜蘭縣,1962,11,121.30,24.40,8.4622,
宜蘭縣,1962,12,121.30,24.40,5.29209,
宜蘭縣,1963,1,121.30,24.40,-0.128998,
宜蘭縣,1963,2,121.30,24.40,1.9222,
宜蘭縣,1963,3,121.30,24.40,7.05798,
宜蘭縣,1963,4,121.30,24.40,10.8647,
宜蘭縣,1963,5,121.30,24.40,14.1941,
宜蘭縣,1963,6,121.30,24.40,13.4949,
宜蘭縣,1963,7,121.30,24.40,14.1913,
宜蘭縣,1963,8,121.30,24.40,14.7864,
宜蘭縣,1963,9,121.30,24.40,14.4617,
宜蘭縣,1963,10,121.30,24.40,9.52021,
宜蘭縣,1963,11,121.30,24.40,9.09322,
宜蘭縣,1963,12,121.30,24.40,5.40575,
宜蘭縣,1964,1,121.30,24.40,4.96259,
宜蘭縣,1964,2,121.30,24.40,4.90017,
宜蘭縣,1964,3,121.30,24.40,7.05913,
宜蘭縣,1964,4,121.30,24.40,12.5029,
宜蘭縣,1964,5,121.30,24.40,12.73,
宜蘭縣,1964,6,121.30,24.40,13.4718,
宜蘭縣,1964,7,121.30,24.40,15.1969,
宜蘭縣,1964,8,121.30,24.40,14.6855,
宜蘭縣,1964,9,121.30,24.40,14.9552,
宜蘭縣,1964,10,121.30,24.40,12.8489,
宜蘭縣,1964,11,121.30,24.40,8.18012,
宜蘭縣,1964,12,121.30,24.40,5.30243,
宜蘭縣,1965,1,121.30,24.40,3.65865,
宜蘭縣,1965,2,121.30,24.40,6.10712,
宜蘭縣,1965,3,121.30,24.40,6.24547,
宜蘭縣,1965,4,121.30,24.40,10.0195,
宜蘭縣,1965,5,121.30,24.40,10.4295,
宜蘭縣,1965,6,121.30,24.40,13.6143,
宜蘭縣,1965,7,121.30,24.40,15.1119,
宜蘭縣,1965,8,121.30,24.40,14.5769,
宜蘭縣,1965,9,121.30,24.40,12.9978,
宜蘭縣,1965,10,121.30,24.40,11.0712,
宜蘭縣,1965,11,121.30,24.40,10.7157,
宜蘭縣,1965,12,121.30,24.40,7.78781,
宜蘭縣,1966,1,121.30,24.40,6.29779,
宜蘭縣,1966,2,121.30,24.40,6.61105,
宜蘭縣,1966,3,121.30,24.40,8.77335,
宜蘭縣,1966,4,121.30,24.40,11.8455,
宜蘭縣,1966,5,121.30,24.40,12.5403,
宜蘭縣,1966,6,121.30,24.40,15.3027,
宜蘭縣,1966,7,121.30,24.40,15.3241,
宜蘭縣,1966,8,121.30,24.40,14.8675,
宜蘭縣,1966,9,121.30,24.40,12.7674,
宜蘭縣,1966,10,121.30,24.40,11.2302,
宜蘭縣,1966,11,121.30,24.40,10.8719,
宜蘭縣,1966,12,121.30,24.40,8.80542,
