CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
新北市,1960,1,121.30,24.90,15.0573,
新北市,1960,2,121.30,24.90,15.8727,
新北市,1960,3,121.30,24.90,19.7906,
新北市,1960,4,121.30,24.90,19.8401,
新北市,1960,5,121.30,24.90,23.1141,
新北市,1960,6,121.30,24.90,26.528,
新北市,1960,7,121.30,24.90,28.2688,
新北市,1960,8,121.30,24.90,26.5376,
新北市,1960,9,121.30,24.90,26.7106,
新北市,1960,10,121.30,24.90,22.8393,
新北市,1960,11,121.30,24.90,20.4475,
新北市,1960,12,121.30,24.90,15.783,
新北市,1961,1,121.30,24.90,14.1086,
新北市,1961,2,121.30,24.90,14.3087,
新北市,1961,3,121.30,24.90,17.2808,
新北市,1961,4,121.30,24.90,21.3965,
新北市,1961,5,121.30,24.90,24.454,
新北市,1961,6,121.30,24.90,28.0191,
新北市,1961,7,121.30,24.90,28.0241,
新北市,1961,8,121.30,24.90,28.1123,
新北市,1961,9,121.30,24.90,26.9718,
新北市,1961,10,121.30,24.90,23.3445,
新北市,1961,11,121.30,24.90,21.324,
新北市,1961,12,121.30,24.90,17.4662,
新北市,1962,1,121.30,24.90,12.2009,
新北市,1962,2,121.30,24.90,15.4441,
新北市,1962,3,121.30,24.90,16.7374,
新北市,1962,4,121.30,24.90,20.0024,
新北市,1962,5,121.30,24.90,24.1385,
新北市,1962,6,121.30,24.90,26.6617,
新北市,1962,7,121.30,24.90,28.1888,
新北市,1962,8,121.30,24.90,27.8341,
新北市,1962,9,121.30,24.90,26.7391,
新北市,1962,10,121.30,24.90,22.767,
新北市,1962,11,121.30,24.90,19.384,
新北市,1962,12,121.30,24.90,16.002,
新北市,1963,1,121.30,24.90,10.9412,
新北市,1963,2,121.30,24.90,13.1943,
新北市,1963,3,121.30,24.90,17.2295,
新北市,1963,4,121.30,24.90,21.6309,
新北市,1963,5,121.30,24.90,26.6808,
新北市,1963,6,121.30,24.90,26.0663,
新北市,1963,7,121.30,24.90,27.4971,
新北市,1963,8,121.30,24.90,28.3336,
新北市,1963,9,121.30,24.90,27.3847,
新北市,1963,10,121.30,24.90,22.3755,
新北市,1963,11,121.30,24.90,20.7165,
新北市,1963,12,121.30,24.90,16.4814,
新北市,1964,1,121.30,24.90,15.2164,
新北市,1964,2,121.30,24.90,14.5318,
新北市,1964,3,121.30,24.90,16.6401,
新北市,1964,4,121.30,24.90,23.6467,
新北市,1964,5,121.30,24.90,24.3034,
新北市,1964,6,121.30,24.90,26.2688,
新北市,1964,7,121.30,24.90,28.8389,
新北市,1964,8,121.30,24.90,27.7966,
新北市,1964,9,121.30,24.90,27.4986,
新北市,1964,10,121.30,24.90,24.6432,
新北市,1964,11,121.30,24.90,19.1695,
新北市,1964,12,121.30,24.90,15.8223,
新北市,1965,1,121.30,24.90,15.3226,
新北市,1965,2,121.30,24.90,16.5644,
新北市,1965,3,121.30,24.90,16.3969,
新北市,1965,4,121.30,24.90,20.1414,
新北市,1965,5,121.30,24.90,23.3931,
新北市,1965,6,121.30,24.90,25.6904,
新北市,1965,7,121.30,24.90,27.7837,
新北市,1965,8,121.30,24.90,27.9824,
新北市,1965,9,121.30,24.90,25.3206,
新北市,1965,10,121.30,24.90,23.4181,
新北市,1965,11,121.30,24.90,21.4158,
新北市,1965,12,121.30,24.90,16.941,
新北市,1966,1,121.30,24.90,16.276,
新北市,1966,2,121.30,24.90,17.0765,
新北市,1966,3,121.30,24.90,19.7079,
新北市,1966,4,121.30,24.90,21.7939,
新北市,1966,5,121.30,24.90,23.91,
新北市,1966,6,121.30,24.90,25.6293,
新北市,1966,7,121.30,24.90,28.3658,
新北市,1966,8,121.30,24.90,27.8955,
新北市,1966,9,121.30,24.90,23.7055,
新北市,1966,10,121.30,24.90,23.4193,
新北市,1966,11,121.30,24.90,21.2938,
新北市,1966,12,121.30,24.90,17.4023,
新北市,1967,1,121.30,24.90,14.0279,
新北市,1967,2,121.30,24.90,14.8597,
新北市,1967,3,121.30,24.90,18.3154,
新北市,1967,4,121.30,24.90,21.3458,
新北市,1967,5,121.30,24.90,25.6184,
新北市,1967,6,121.30,24.90,26.7676,
新北市,1967,7,121.30,24.90,28.8479,
新北市,1967,8,121.30,24.90,28.2413,
新北市,1967,9,121.30,24.90,25.486,
新北市,1967,10,121.30,24.90,21.6343,
新北市,1967,11,121.30,24.90,20.7458,
新北市,1967,12,121.30,24.90,13.1898,
新北市,1968,1,121.30,24.90,14.7787,
新北市,1968,2,121.30,24.90,11.7187,
新北市,1968,3,121.30,24.90,17.5331,
新北市,1968,4,121.30,24.90,19.9936,
新北市,1968,5,121.30,24.90,24.5662,
新北市,1968,6,121.30,24.90,25.9146,
新北市,1968,7,121.30,24.90,28.7654,
新北市,1968,8,121.30,24.90,28.6153,
新北市,1968,9,121.30,24.90,26.7151,
新北市,1968,10,121.30,24.90,22.9161,
新北市,1968,11,121.30,24.90,21.189,
新北市,1968,12,121.30,24.90,19.1158,
新北市,1969,1,121.30,24.90,16.7127,
新北市,1969,2,121.30,24.90,14.8068,
新北市,1969,3,121.30,24.90,17.1485,
新北市,1969,4,121.30,24.90,22.3904,
新北市,1969,5,121.30,24.90,25.8047,
新北市,1969,6,121.30,24.90,25.3238,
新北市,1969,7,121.30,24.90,28.9014,
新北市,1969,8,121.30,24.90,28.4014,
新北市,1969,9,121.30,24.90,27.1426,
新北市,1969,10,121.30,24.90,22.0846,
新北市,1969,11,121.30,24.90,18.788,
新北市,1969,12,121.30,24.90,16.3319,
新北市,1970,1,121.30,24.90,13.7939,
新北市,1970,2,121.30,24.90,16.6241,
新北市,1970,3,121.30,24.90,15.1893,
新北市,1970,4,121.30,24.90,19.9809,
新北市,1970,5,121.30,24.90,25.252,
新北市,1970,6,121.30,24.90,26.6554,
新北市,1970,7,121.30,24.90,28.9439,
新北市,1970,8,121.30,24.90,28.0883,
新北市,1970,9,121.30,24.90,27.2395,
新北市,1970,10,121.30,24.90,24.4111,
新北市,1970,11,121.30,24.90,20.4787,
新北市,1970,12,121.30,24.90,17.4015,
新北市,1971,1,121.30,24.90,12.6773,
新北市,1971,2,121.30,24.90,14.9327,
新北市,1971,3,121.30,24.90,17.3013,
新北市,1971,4,121.30,24.90,21.1136,
新北市,1971,5,121.30,24.90,24.0181,
新北市,1971,6,121.30,24.90,27.9034,
新北市,1971,7,121.30,24.90,28.8121,
新北市,1971,8,121.30,24.90,28.4416,
新北市,1971,9,121.30,24.90,26.5895,
新北市,1971,10,121.30,24.90,22.3734,
新北市,1971,11,121.30,24.90,19.2161,
新北市,1971,12,121.30,24.90,17.0913,
新北市,1972,1,121.30,24.90,16.0006,
新北市,1972,2,121.30,24.90,14.1661,
新北市,1972,3,121.30,24.90,17.0819,
新北市,1972,4,121.30,24.90,20.364,
新北市,1972,5,121.30,24.90,24.4225,
新北市,1972,6,121.30,24.90,27.2221,
新北市,1972,7,121.30,24.90,27.6525,
新北市,1972,8,121.30,24.90,26.3581,
新北市,1972,9,121.30,24.90,26.0532,
新北市,1972,10,121.30,24.90,24.0732,
新北市,1972,11,121.30,24.90,21.0398,
新北市,1972,12,121.30,24.90,17.2481,
新北市,1973,1,121.30,24.90,15.4374,
新北市,1973,2,121.30,24.90,17.9677,
新北市,1973,3,121.30,24.90,18.597,
新北市,1973,4,121.30,24.90,22.8935,
新北市,1973,5,121.30,24.90,24.4842,
新北市,1973,6,121.30,24.90,26.8582,
新北市,1973,7,121.30,24.90,28.3961,
新北市,1973,8,121.30,24.90,28.3009,
新北市,1973,9,121.30,24.90,27.2375,
新北市,1973,10,121.30,24.90,24.0777,
新北市,1973,11,121.30,24.90,19.4434,
新北市,1973,12,121.30,24.90,14.5155,
新北市,1974,1,121.30,24.90,15.5629,
新北市,1974,2,121.30,24.90,14.1404,
新北市,1974,3,121.30,24.90,16.9411,
新北市,1974,4,121.30,24.90,21.5777,
新北市,1974,5,121.30,24.90,25.0604,
新北市,1974,6,121.30,24.90,26.1748,
新北市,1974,7,121.30,24.90,28.0184,
新北市,1974,8,121.30,24.90,27.1126,
新北市,1974,9,121.30,24.90,26.0745,
新北市,1974,10,121.30,24.90,24.1489,
新北市,1974,11,121.30,24.90,20.907,
新北市,1974,12,121.30,24.90,18.4476,
新北市,1975,1,121.30,24.90,15.4479,
新北市,1975,2,121.30,24.90,16.267,
新北市,1975,3,121.30,24.90,17.4182,
新北市,1975,4,121.30,24.90,23.2741,
新北市,1975,5,121.30,24.90,23.6847,
新北市,1975,6,121.30,24.90,26.9188,
新北市,1975,7,121.30,24.90,28.8466,
新北市,1975,8,121.30,24.90,28.1287,
新北市,1975,9,121.30,24.90,28.2671,
新北市,1975,10,121.30,24.90,25.6326,
新北市,1975,11,121.30,24.90,19.8697,
新北市,1975,12,121.30,24.90,14.9729,
新北市,1976,1,121.30,24.90,14.1342,
新北市,1976,2,121.30,24.90,15.9911,
新北市,1976,3,121.30,24.90,16.1857,
新北市,1976,4,121.30,24.90,20.5267,
新北市,1976,5,121.30,24.90,24.4784,
新北市,1976,6,121.30,24.90,26.1145,
新北市,1976,7,121.30,24.90,27.2756,
新北市,1976,8,121.30,24.90,27.6762,
新北市,1976,9,121.30,24.90,25.002,
新北市,1976,10,121.30,24.90,23.1524,
新北市,1976,11,121.30,24.90,17.4047,
新北市,1976,12,121.30,24.90,15.8506,
新北市,1977,1,121.30,24.90,14.1267,
