CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
新竹縣,1960,1,120.90,24.70,15.8945,
新竹縣,1960,2,120.90,24.70,16.668,
新竹縣,1960,3,120.90,24.70,20.9921,
新竹縣,1960,4,120.90,24.70,21.0152,
新竹縣,1960,5,120.90,24.70,24.2029,
新竹縣,1960,6,120.90,24.70,27.2143,
新竹縣,1960,7,120.90,24.70,28.8969,
新竹縣,1960,8,120.90,24.70,27.2265,
新竹縣,1960,9,120.90,24.70,27.4324,
新竹縣,1960,10,120.90,24.70,23.727,
新竹縣,1960,11,120.90,24.70,21.2493,
新竹縣,1960,12,120.90,24.70,16.4897,
新竹縣,1961,1,120.90,24.70,14.6031,
新竹縣,1961,2,120.90,24.70,15.2453,
新竹縣,1961,3,120.90,24.70,17.776,
新竹縣,1961,4,120.90,24.70,22.526,
新竹縣,1961,5,120.90,24.70,25.1114,
新竹縣,1961,6,120.90,24.70,28.713,
新竹縣,1961,7,120.90,24.70,28.4673,
新竹縣,1961,8,120.90,24.70,28.4054,
新竹縣,1961,9,120.90,24.70,27.5151,
新竹縣,1961,10,120.90,24.70,24.3007,
新竹縣,1961,11,120.90,24.70,23.1151,
新竹縣,1961,12,120.90,24.70,18.4658,
新竹縣,1962,1,120.90,24.70,12.6755,
新竹縣,1962,2,120.90,24.70,15.7039,
新竹縣,1962,3,120.90,24.70,17.2854,
新竹縣,1962,4,120.90,24.70,20.6038,
新竹縣,1962,5,120.90,24.70,24.8593,
新竹縣,1962,6,120.90,24.70,27.451,
新竹縣,1962,7,120.90,24.70,28.8148,
新竹縣,1962,8,120.90,24.70,28.8637,
新竹縣,1962,9,120.90,24.70,27.5642,
新竹縣,1962,10,120.90,24.70,23.8242,
新竹縣,1962,11,120.90,24.70,20.2858,
新竹縣,1962,12,120.90,24.70,16.8635,
新竹縣,1963,1,120.90,24.70,12.0699,
新竹縣,1963,2,120.90,24.70,14.4606,
新竹縣,1963,3,120.90,24.70,18.3834,
新竹縣,1963,4,120.90,24.70,22.695,
新竹縣,1963,5,120.90,24.70,27.6003,
新竹縣,1963,6,120.90,24.70,27.1377,
新竹縣,1963,7,120.90,24.70,28.4023,
新竹縣,1963,8,120.90,24.70,29.2883,
新竹縣,1963,9,120.90,24.70,28.2392,
新竹縣,1963,10,120.90,24.70,23.1974,
新竹縣,1963,11,120.90,24.70,21.6062,
新竹縣,1963,12,120.90,24.70,17.2532,
新竹縣,1964,1,120.90,24.70,15.7612,
新竹縣,1964,2,120.90,24.70,15.2761,
新竹縣,1964,3,120.90,24.70,17.4401,
新竹縣,1964,4,120.90,24.70,24.341,
新竹縣,1964,5,120.90,24.70,25.2025,
新竹縣,1964,6,120.90,24.70,26.6736,
新竹縣,1964,7,120.90,24.70,29.3211,
新竹縣,1964,8,120.90,24.70,28.3606,
新竹縣,1964,9,120.90,24.70,27.9302,
新竹縣,1964,10,120.90,24.70,25.4624,
新竹縣,1964,11,120.90,24.70,20.2756,
新竹縣,1964,12,120.90,24.70,16.6351,
新竹縣,1965,1,120.90,24.70,16.2046,
新竹縣,1965,2,120.90,24.70,17.6893,
新竹縣,1965,3,120.90,24.70,17.7474,
新竹縣,1965,4,120.90,24.70,21.6853,
新竹縣,1965,5,120.90,24.70,24.3873,
新竹縣,1965,6,120.90,24.70,26.6133,
新竹縣,1965,7,120.90,24.70,28.3024,
新竹縣,1965,8,120.90,24.70,28.6631,
新竹縣,1965,9,120.90,24.70,26.3661,
新竹縣,1965,10,120.90,24.70,24.4389,
新竹縣,1965,11,120.90,24.70,22.3204,
新竹縣,1965,12,120.90,24.70,17.7765,
新竹縣,1966,1,120.90,24.70,17.1176,
新竹縣,1966,2,120.90,24.70,18.0281,
新竹縣,1966,3,120.90,24.70,20.783,
新竹縣,1966,4,120.90,24.70,22.5453,
新竹縣,1966,5,120.90,24.70,24.5225,
新竹縣,1966,6,120.90,24.70,26.1996,
新竹縣,1966,7,120.90,24.70,28.8694,
新竹縣,1966,8,120.90,24.70,28.3556,
新竹縣,1966,9,120.90,24.70,24.3988,
新竹縣,1966,10,120.90,24.70,23.9892,
新竹縣,1966,11,120.90,24.70,21.8518,
新竹縣,1966,12,120.90,24.70,17.8671,
新竹縣,1967,1,120.90,24.70,14.3563,
新竹縣,1967,2,120.90,24.70,14.9541,
新竹縣,1967,3,120.90,24.70,18.4794,
新竹縣,1967,4,120.90,24.70,21.6289,
新竹縣,1967,5,120.90,24.70,25.8976,
新竹縣,1967,6,120.90,24.70,26.9899,
新竹縣,1967,7,120.90,24.70,29.0011,
新竹縣,1967,8,120.90,24.70,28.6989,
新竹縣,1967,9,120.90,24.70,25.7883,
新竹縣,1967,10,120.90,24.70,22.1697,
新竹縣,1967,11,120.90,24.70,21.2381,
新竹縣,1967,12,120.90,24.70,13.8836,
新竹縣,1968,1,120.90,24.70,15.0231,
新竹縣,1968,2,120.90,24.70,12.0047,
新竹縣,1968,3,120.90,24.70,17.6636,
新竹縣,1968,4,120.90,24.70,20.4677,
新竹縣,1968,5,120.90,24.70,24.8291,
新竹縣,1968,6,120.90,24.70,26.3004,
新竹縣,1968,7,120.90,24.70,29.1089,
新竹縣,1968,8,120.90,24.70,28.9548,
新竹縣,1968,9,120.90,24.70,27.2126,
新竹縣,1968,10,120.90,24.70,23.3667,
新竹縣,1968,11,120.90,24.70,21.4526,
新竹縣,1968,12,120.90,24.70,19.8543,
新竹縣,1969,1,120.90,24.70,17.1591,
新竹縣,1969,2,120.90,24.70,15.2033,
新竹縣,1969,3,120.90,24.70,17.3692,
新竹縣,1969,4,120.90,24.70,22.5555,
新竹縣,1969,5,120.90,24.70,26.2155,
新竹縣,1969,6,120.90,24.70,25.6046,
新竹縣,1969,7,120.90,24.70,29.2783,
新竹縣,1969,8,120.90,24.70,28.6134,
新竹縣,1969,9,120.90,24.70,26.9642,
新竹縣,1969,10,120.90,24.70,22.4729,
新竹縣,1969,11,120.90,24.70,19.4423,
新竹縣,1969,12,120.90,24.70,16.7042,
新竹縣,1970,1,120.90,24.70,14.2754,
新竹縣,1970,2,120.90,24.70,16.7926,
新竹縣,1970,3,120.90,24.70,15.0863,
新竹縣,1970,4,120.90,24.70,20.0826,
新竹縣,1970,5,120.90,24.70,25.3296,
新竹縣,1970,6,120.90,24.70,27.0593,
新竹縣,1970,7,120.90,24.70,29.1123,
新竹縣,1970,8,120.90,24.70,28.3458,
新竹縣,1970,9,120.90,24.70,28.0212,
新竹縣,1970,10,120.90,24.70,24.9586,
新竹縣,1970,11,120.90,24.70,21.0084,
新竹縣,1970,12,120.90,24.70,17.8052,
新竹縣,1971,1,120.90,24.70,13.4558,
新竹縣,1971,2,120.90,24.70,15.2591,
新竹縣,1971,3,120.90,24.70,17.6267,
新竹縣,1971,4,120.90,24.70,21.8689,
新竹縣,1971,5,120.90,24.70,24.6995,
新竹縣,1971,6,120.90,24.70,28.2022,
新竹縣,1971,7,120.90,24.70,29.3307,
新竹縣,1971,8,120.90,24.70,28.7717,
新竹縣,1971,9,120.90,24.70,27.2255,
新竹縣,1971,10,120.90,24.70,23.2034,
新竹縣,1971,11,120.90,24.70,19.6558,
新竹縣,1971,12,120.90,24.70,17.4625,
新竹縣,1972,1,120.90,24.70,16.102,
新竹縣,1972,2,120.90,24.70,14.1227,
新竹縣,1972,3,120.90,24.70,17.1239,
新竹縣,1972,4,120.90,24.70,20.3988,
新竹縣,1972,5,120.90,24.70,25.0054,
新竹縣,1972,6,120.90,24.70,27.1133,
新竹縣,1972,7,120.90,24.70,27.6805,
新竹縣,1972,8,120.90,24.70,26.96,
新竹縣,1972,9,120.90,24.70,27.0287,
新竹縣,1972,10,120.90,24.70,25.3634,
新竹縣,1972,11,120.90,24.70,21.0989,
新竹縣,1972,12,120.90,24.70,17.0684,
新竹縣,1973,1,120.90,24.70,15.3457,
新竹縣,1973,2,120.90,24.70,17.7221,
新竹縣,1973,3,120.90,24.70,18.7602,
新竹縣,1973,4,120.90,24.70,22.9802,
新竹縣,1973,5,120.90,24.70,24.8578,
新竹縣,1973,6,120.90,24.70,27.1525,
新竹縣,1973,7,120.90,24.70,28.398,
新竹縣,1973,8,120.90,24.70,28.4487,
新竹縣,1973,9,120.90,24.70,27.4369,
新竹縣,1973,10,120.90,24.70,24.3585,
新竹縣,1973,11,120.90,24.70,20.1069,
新竹縣,1973,12,120.90,24.70,14.9257,
新竹縣,1974,1,120.90,24.70,15.7177,
新竹縣,1974,2,120.90,24.70,14.5635,
新竹縣,1974,3,120.90,24.70,17.2439,
新竹縣,1974,4,120.90,24.70,22.0917,
新竹縣,1974,5,120.90,24.70,25.8198,
新竹縣,1974,6,120.90,24.70,26.9232,
新竹縣,1974,7,120.90,24.70,28.2222,
新竹縣,1974,8,120.90,24.70,27.5532,
新竹縣,1974,9,120.90,24.70,26.5204,
新竹縣,1974,10,120.90,24.70,24.0545,
新竹縣,1974,11,120.90,24.70,21.151,
新竹縣,1974,12,120.90,24.70,18.2618,
新竹縣,1975,1,120.90,24.70,15.9237,
新竹縣,1975,2,120.90,24.70,16.362,
新竹縣,1975,3,120.90,24.70,17.3051,
新竹縣,1975,4,120.90,24.70,22.8344,
新竹縣,1975,5,120.90,24.70,23.7857,
新竹縣,1975,6,120.90,24.70,26.6904,
新竹縣,1975,7,120.90,24.70,28.1627,
新竹縣,1975,8,120.90,24.70,27.5972,
新竹縣,1975,9,120.90,24.70,27.3181,
新竹縣,1975,10,120.90,24.70,25.4745,
新竹縣,1975,11,120.90,24.70,20.6809,
新竹縣,1975,12,120.90,24.70,16.2167,
新竹縣,1976,1,120.90,24.70,14.6825,
新竹縣,1976,2,120.90,24.70,15.957,
新竹縣,1976,3,120.90,24.70,16.5542,
新竹縣,1976,4,120.90,24.70,20.3512,
新竹縣,1976,5,120.90,24.70,24.5917,
新竹縣,1976,6,120.90,24.70,26.3721,
新竹縣,1976,7,120.90,24.70,27.3253,
新竹縣,1976,8,120.90,24.70,27.4693,
新竹縣,1976,9,120.90,24.70,25.6261,
新竹縣,1976,10,120.90,24.70,23.4557,
新竹縣,1976,11,120.90,24.70,18.0631,
新竹縣,1976,12,120.90,24.70,16.3923,
新竹縣,1977,1,120.90,24.70,14.4392,
新竹縣,1977,2,120.90,24.70,13.6067,
新竹縣,1977,3,120.90,24.70,18.5707,
新竹縣,1977,4,120.90,24.70,22.7201,
新竹縣,1977,5,120.90,24.70,25.1239,
新竹縣,1977,6,120.90,24.70,27.0096,
新竹縣,1977,7,120.90,24.70,28.0754,
新竹縣,1977,8,120.90,24.70,27.9063,
新竹縣,1977,9,120.90,24.70,26.7138,
新竹縣,1977,10,120.90,24.70,23.8231,
新竹縣,1977,11,120.90,24.70,19.2582,
新竹縣,1977,12,120.90,24.70,18.7144,
新竹縣,1978,1,120.90,24.70,14.2357,
新竹縣,1978,2,120.90,24.70,15.1516,
新竹縣,1978,3,120.90,24.70,17.3486,
新竹縣,1978,4,120.90,24.70,21.3197,
新竹縣,1978,5,120.90,24.70,23.6946,
新竹縣,1978,6,120.90,24.70,26.7301,
新竹縣,1978,7,120.90,24.70,28.3491,
新竹縣,1978,8,120.90,24.70,28.1631,
新竹縣,1978,9,120.90,24.70,26.8549,
新竹縣,1978,10,120.90,24.70,23.0736,
新竹縣,1978,11,120.90,24.70,19.9916,
新竹縣,1978,12,120.90,24.70,17.1603,
新竹縣,1979,1,120.90,24.70,16.256,
新竹縣,1979,2,120.90,24.70,16.9005,
新竹縣,1979,3,120.90,24.70,17.7055,
新竹縣,1979,4,120.90,24.70,21.3481,
新竹縣,1979,5,120.90,24.70,22.6859,
新竹縣,1979,6,120.90,24.70,25.7563,
新竹縣,1979,7,120.90,24.70,28.9892,
新竹縣,1979,8,120.90,24.70,27.989,
新竹縣,1979,9,120.90,24.70,26.6983,
新竹縣,1979,10,120.90,24.70,22.4194,
新竹縣,1979,11,120.90,24.70,19.3025,
新竹縣,1979,12,120.90,24.70,17.9617,
新竹縣,1980,1,120.90,24.70,14.8167,
新竹縣,1980,2,120.90,24.70,14.9078,
新竹縣,1980,3,120.90,24.70,18.3423,
新竹縣,1980,4,120.90,24.70,20.4316,
新竹縣,1980,5,120.90,24.70,24.1241,
新竹縣,1980,6,120.90,24.70,28.2645,
新竹縣,1980,7,120.90,24.70,29.018,
新竹縣,1980,8,120.90,24.70,28.2488,
新竹縣,1980,9,120.90,24.70,26.657,
新竹縣,1980,10,120.90,24.70,24.6429,
新竹縣,1980,11,120.90,24.70,21.6523,
新竹縣,1980,12,120.90,24.70,16.3326,
新竹縣,1981,1,120.90,24.70,15.8256,
新竹縣,1981,2,120.90,24.70,16.6527,
新竹縣,1981,3,120.90,24.70,20.3897,
新竹縣,1981,4,120.90,24.70,23.9995,
新竹縣,1981,5,120.90,24.70,24.0179,
新竹縣,1981,6,120.90,24.70,26.6336,
新竹縣,1981,7,120.90,24.70,27.66,
新竹縣,1981,8,120.90,24.70,28.7496,
新竹縣,1981,9,120.90,24.70,26.5752,
新竹縣,1981,10,120.90,24.70,23.7556,
新竹縣,1981,11,120.90,24.70,19.9465,
新竹縣,1981,12,120.90,24.70,16.1218,
新竹縣,1982,1,120.90,24.70,15.4339,
新竹縣,1982,2,120.90,24.70,15.6913,
新竹縣,1982,3,120.90,24.70,18.9972,
新竹縣,1982,4,120.90,24.70,20.2019,
新竹縣,1982,5,120.90,24.70,25.9875,
新竹縣,1982,6,120.90,24.70,27.0782,
新竹縣,1982,7,120.90,24.70,28.5844,
新竹縣,1982,8,120.90,24.70,28.7543,
新竹縣,1982,9,120.90,24.70,27.3433,
新竹縣,1982,10,120.90,24.70,25.3499,
