CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
桃園市,1960,1,121.00,24.95,15.8699,
桃園市,1960,2,121.00,24.95,16.6841,
桃園市,1960,3,121.00,24.95,20.7361,
桃園市,1960,4,121.00,24.95,20.8801,
桃園市,1960,5,121.00,24.95,24.1325,
桃園市,1960,6,121.00,24.95,27.3733,
桃園市,1960,7,121.00,24.95,29.017,
桃園市,1960,8,121.00,24.95,27.3248,
桃園市,1960,9,121.00,24.95,27.609,
桃園市,1960,10,121.00,24.95,23.9147,
桃園市,1960,11,121.00,24.95,21.2835,
桃園市,1960,12,121.00,24.95,16.5846,
桃園市,1961,1,121.00,24.95,14.3493,
桃園市,1961,2,121.00,24.95,14.6722,
桃園市,1961,3,121.00,24.95,17.3848,
桃園市,1961,4,121.00,24.95,22.0218,
桃園市,1961,5,121.00,24.95,24.8222,
桃園市,1961,6,121.00,24.95,28.5793,
桃園市,1961,7,121.00,24.95,28.4691,
桃園市,1961,8,121.00,24.95,28.4767,
桃園市,1961,9,121.00,24.95,27.4054,
桃園市,1961,10,121.00,24.95,23.8837,
桃園市,1961,11,121.00,24.95,22.3824,
桃園市,1961,12,121.00,24.95,18.355,
桃園市,1962,1,121.00,24.95,12.4883,
桃園市,1962,2,121.00,24.95,15.398,
桃園市,1962,3,121.00,24.95,16.9077,
桃園市,1962,4,121.00,24.95,20.3418,
桃園市,1962,5,121.00,24.95,24.6479,
桃園市,1962,6,121.00,24.95,27.3218,
桃園市,1962,7,121.00,24.95,28.91,
桃園市,1962,8,121.00,24.95,28.863,
桃園市,1962,9,121.00,24.95,27.5764,
桃園市,1962,10,121.00,24.95,23.6365,
桃園市,1962,11,121.00,24.95,20.1587,
桃園市,1962,12,121.00,24.95,16.7026,
桃園市,1963,1,121.00,24.95,11.7745,
桃園市,1963,2,121.00,24.95,14.0701,
桃園市,1963,3,121.00,24.95,17.9918,
桃園市,1963,4,121.00,24.95,22.4376,
桃園市,1963,5,121.00,24.95,27.3781,
桃園市,1963,6,121.00,24.95,27.0376,
桃園市,1963,7,121.00,24.95,28.4613,
桃園市,1963,8,121.00,24.95,29.3464,
桃園市,1963,9,121.00,24.95,28.3186,
桃園市,1963,10,121.00,24.95,22.9733,
桃園市,1963,11,121.00,24.95,21.3662,
桃園市,1963,12,121.00,24.95,16.9417,
桃園市,1964,1,121.00,24.95,15.6149,
桃園市,1964,2,121.00,24.95,14.7368,
桃園市,1964,3,121.00,24.95,16.836,
桃園市,1964,4,121.00,24.95,23.8944,
桃園市,1964,5,121.00,24.95,24.8367,
桃園市,1964,6,121.00,24.95,26.8216,
桃園市,1964,7,121.00,24.95,29.3708,
桃園市,1964,8,121.00,24.95,28.4383,
桃園市,1964,9,121.00,24.95,27.9712,
桃園市,1964,10,121.00,24.95,25.2365,
桃園市,1964,11,121.00,24.95,19.8426,
桃園市,1964,12,121.00,24.95,16.27,
桃園市,1965,1,121.00,24.95,15.8226,
桃園市,1965,2,121.00,24.95,16.9829,
桃園市,1965,3,121.00,24.95,16.9332,
桃園市,1965,4,121.00,24.95,20.8278,
桃園市,1965,5,121.00,24.95,23.9386,
桃園市,1965,6,121.00,24.95,26.3064,
桃園市,1965,7,121.00,24.95,28.3722,
桃園市,1965,8,121.00,24.95,28.9119,
桃園市,1965,9,121.00,24.95,26.3778,
桃園市,1965,10,121.00,24.95,24.3479,
桃園市,1965,11,121.00,24.95,21.9908,
桃園市,1965,12,121.00,24.95,17.3906,
桃園市,1966,1,121.00,24.95,16.6366,
桃園市,1966,2,121.00,24.95,17.3799,
桃園市,1966,3,121.00,24.95,20.2524,
桃園市,1966,4,121.00,24.95,22.5221,
桃園市,1966,5,121.00,24.95,24.5444,
桃園市,1966,6,121.00,24.95,26.2679,
桃園市,1966,7,121.00,24.95,28.9657,
桃園市,1966,8,121.00,24.95,28.4689,
桃園市,1966,9,121.00,24.95,24.3964,
桃園市,1966,10,121.00,24.95,23.9468,
桃園市,1966,11,121.00,24.95,21.9334,
桃園市,1966,12,121.00,24.95,17.859,
桃園市,1967,1,121.00,24.95,14.3911,
桃園市,1967,2,121.00,24.95,15.1085,
桃園市,1967,3,121.00,24.95,18.5307,
桃園市,1967,4,121.00,24.95,21.6361,
桃園市,1967,5,121.00,24.95,26.117,
桃園市,1967,6,121.00,24.95,27.218,
桃園市,1967,7,121.00,24.95,29.2859,
桃園市,1967,8,121.00,24.95,28.9448,
桃園市,1967,9,121.00,24.95,26.0156,
桃園市,1967,10,121.00,24.95,22.2295,
桃園市,1967,11,121.00,24.95,21.1876,
桃園市,1967,12,121.00,24.95,13.9246,
桃園市,1968,1,121.00,24.95,15.0305,
桃園市,1968,2,121.00,24.95,12.1059,
桃園市,1968,3,121.00,24.95,17.7411,
桃園市,1968,4,121.00,24.95,20.4281,
桃園市,1968,5,121.00,24.95,24.8985,
桃園市,1968,6,121.00,24.95,26.3536,
桃園市,1968,7,121.00,24.95,29.2699,
桃園市,1968,8,121.00,24.95,29.084,
桃園市,1968,9,121.00,24.95,27.3413,
桃園市,1968,10,121.00,24.95,23.4765,
桃園市,1968,11,121.00,24.95,21.5733,
桃園市,1968,12,121.00,24.95,19.7115,
桃園市,1969,1,121.00,24.95,17.0873,
桃園市,1969,2,121.00,24.95,15.0918,
桃園市,1969,3,121.00,24.95,17.3322,
桃園市,1969,4,121.00,24.95,22.6014,
桃園市,1969,5,121.00,24.95,26.2435,
桃園市,1969,6,121.00,24.95,25.6315,
桃園市,1969,7,121.00,24.95,29.3681,
桃園市,1969,8,121.00,24.95,28.7464,
桃園市,1969,9,121.00,24.95,27.2023,
桃園市,1969,10,121.00,24.95,22.5488,
桃園市,1969,11,121.00,24.95,19.3823,
桃園市,1969,12,121.00,24.95,16.788,
桃園市,1970,1,121.00,24.95,14.3156,
桃園市,1970,2,121.00,24.95,16.8617,
桃園市,1970,3,121.00,24.95,15.1129,
桃園市,1970,4,121.00,24.95,20.0177,
桃園市,1970,5,121.00,24.95,25.4573,
桃園市,1970,6,121.00,24.95,27.0967,
桃園市,1970,7,121.00,24.95,29.2699,
桃園市,1970,8,121.00,24.95,28.5299,
桃園市,1970,9,121.00,24.95,27.963,
桃園市,1970,10,121.00,24.95,25.0793,
桃園市,1970,11,121.00,24.95,21.0306,
桃園市,1970,12,121.00,24.95,17.8124,
桃園市,1971,1,121.00,24.95,13.4518,
桃園市,1971,2,121.00,24.95,15.345,
桃園市,1971,3,121.00,24.95,17.6605,
桃園市,1971,4,121.00,24.95,21.794,
桃園市,1971,5,121.00,24.95,24.7604,
桃園市,1971,6,121.00,24.95,28.4313,
桃園市,1971,7,121.00,24.95,29.4972,
桃園市,1971,8,121.00,24.95,28.9071,
桃園市,1971,9,121.00,24.95,27.3757,
桃園市,1971,10,121.00,24.95,23.1375,
桃園市,1971,11,121.00,24.95,19.7273,
桃園市,1971,12,121.00,24.95,17.5086,
桃園市,1972,1,121.00,24.95,16.2474,
桃園市,1972,2,121.00,24.95,14.1572,
桃園市,1972,3,121.00,24.95,17.2165,
桃園市,1972,4,121.00,24.95,20.5768,
桃園市,1972,5,121.00,24.95,25.0433,
桃園市,1972,6,121.00,24.95,27.3843,
桃園市,1972,7,121.00,24.95,27.9683,
桃園市,1972,8,121.00,24.95,27.0876,
桃園市,1972,9,121.00,24.95,26.94,
桃園市,1972,10,121.00,24.95,25.0277,
桃園市,1972,11,121.00,24.95,21.1431,
桃園市,1972,12,121.00,24.95,17.2713,
桃園市,1973,1,121.00,24.95,15.4624,
桃園市,1973,2,121.00,24.95,17.7505,
桃園市,1973,3,121.00,24.95,18.732,
桃園市,1973,4,121.00,24.95,23.0501,
桃園市,1973,5,121.00,24.95,24.8704,
桃園市,1973,6,121.00,24.95,27.2777,
桃園市,1973,7,121.00,24.95,28.6109,
桃園市,1973,8,121.00,24.95,28.6101,
桃園市,1973,9,121.00,24.95,27.5758,
桃園市,1973,10,121.00,24.95,24.3969,
桃園市,1973,11,121.00,24.95,20.0695,
桃園市,1973,12,121.00,24.95,14.9754,
桃園市,1974,1,121.00,24.95,15.7988,
桃園市,1974,2,121.00,24.95,14.5754,
桃園市,1974,3,121.00,24.95,17.2501,
桃園市,1974,4,121.00,24.95,22.0455,
桃園市,1974,5,121.00,24.95,25.7536,
桃園市,1974,6,121.00,24.95,27.0215,
桃園市,1974,7,121.00,24.95,28.3788,
桃園市,1974,8,121.00,24.95,27.7019,
桃園市,1974,9,121.00,24.95,26.599,
桃園市,1974,10,121.00,24.95,24.5647,
桃園市,1974,11,121.00,24.95,21.2612,
桃園市,1974,12,121.00,24.95,18.4028,
桃園市,1975,1,121.00,24.95,15.9006,
桃園市,1975,2,121.00,24.95,16.4671,
桃園市,1975,3,121.00,24.95,17.5396,
桃園市,1975,4,121.00,24.95,23.0702,
桃園市,1975,5,121.00,24.95,23.8598,
桃園市,1975,6,121.00,24.95,26.8834,
